abounds	vimlar
tempt	fresta
tempting	frestande
temptingly	frestande
tenacious	envis
tenaciously	ihärdigt
tenacity	envishet
tender	anbud
tenderly	ömt
terrific	fantastiskt
terrifically	oerhört
thank	tacka
thankful	tacksam
thoughtful	omtänksam
thoughtfully	tänk
thoughtfulness	tänk
thrift	sparsamhet
thrifty	sparsam
thrill	spänning
thrilled	glada
thrilling	spännande
thrills	raffel
thrive	frodas
thriving	blomstrande
tickle	kittla
tidy	städa
time-honored	hävdvunna
tingle	pirra
titillate	kittla
titillating	kittlande
togetherness	samhörighet
tolerable	tolerabel
toll-free	tullfritt
top	topp
top-notch	förstklassig
top-quality	Toppkvalité
tops	blast
tough	tuff
tougher	segare
toughest	tuffaste
traction	dragning
tranquil	lugn
tranquility	lugn
treasure	skatt
tremendously	oerhört
trendy	trendig
triumph	triumf
triumphal	triumf-
triumphant	triumfer
triumphantly	triumfer
trivially	trivialt
trophy	trofén
trouble-free	problemfri
trump	trumf
trust	förtroende
trusted	betrodd
trusting	förtroendefullt
trustworthiness	trovärdighet
trustworthy	pålitlig
trusty	pålitliga
truthful	sanningsenlig
truthfully	sanningsenligt
truthfulness	sanningsenlighet
ultra-crisp	ultra-skarpa
unabashed	oblyg
unaffected	opåverkad
unassailable	oantastlig
unbeatable	oslagbar
unbiased	opartisk
unbound	obunden
uncomplicated	okomplicerad
unconditional	ovillkorlig
undamaged	oskadad
undaunted	oförskräckt
understandable	begriplig
undisputed	obestridd
unencumbered	obesvärad
unequivocal	entydig
unequivocally	otvetydigt
unfazed	oberörd
unfettered	ohämmad
unforgettable	oförglömlig
unity	enhet
unlimited	obegränsat
unmatched	oöverträffad
unparalleled	enastående
unquestionable	obestridlig
unquestionably	obestridligen
unreal	overklig
unrestricted	obegränsad
unrivaled	oöverträffad
unselfish	osjälvisk
unwavering	orubblig
upbeat	optimistisk
upgradeable	uppgraderas
upgraded	uppgraderad
upheld	godtas
uphold	vidmakthålla
uplift	lyfta
uplifting	upplyftande
upscale	exklusiva
usable	användbar
useable	användbart
useful	användbar
user-friendly	användarvänlig
user-replaceable	utbytbart
valiant	tapper
valor	tapperhet
valuable	värdefulla
variety	mängd
venerate	vörda
verifiable	verifierbar
veritable	veritabel
versatile	mångsidig
versatility	mångsidighet
vibrant	vibrerande
victorious	segrande
victory	seger
viewable	synlig
vigilance	vaksamhet
vigilant	vaksam
virtue	dygd
virtuous	dygdig
virtuously	dygdigt
visionary	visionär
vivacious	livlig
vivid	levande
vouch	garantera
vouchsafe	förunna
warm	värma
warmer	varmare
warmhearted	varmhjärtad
warmly	varmt
warmth	värme
wealthy	rik
welcome	Välkommen
well	väl
well-backlit	väl-bakgrundsbelyst
well-balanced	välbalanserad
well-behaved	Sköt
well-being	välbefinnande
well-bred	belevad
well-educated	välutbildade
well-established	väletablerad
well-informed	välinformerade
well-intentioned	välmenande
well-known	välkänd
well-mannered	väluppfostrad
well-run	välskött
wellbeing	välbefinnande
whoa	Oj
wholeheartedly	helhjärtat
wholesome	hälsosam
whoooa	WHOOOA
wieldy	lätthanterlig
willing	villig
willingly	villigt
willingness	villighet
win	vinna
windfall	fallfrukt
winner	vinnare
winners	vinnare
winning	vinnande
wins	segrar
wisdom	visdom
wise	klok
wisely	klokt
witty	kvick
won	vann
wonder	undra
wonderful	underbar
wonderfully	underbart
wonders	undrar
wondrous	underbar
woo	uppvakta
work	arbete
workable	genomförbar
worked	arbetade
works	Arbetar
world-famous	världskänd
worth	värde
worth-while	värt
worthiness	värdighet
worthwhile	värt
worthy	värdig
wow	Wow
wowed	bländade
yay	Jippie
youthful	ungdomlig
zeal	iver
zenith	zenit
zest	krydda
zippy	klämmig
abnormal	onormal
abolish	avskaffa
abominable	avskyvärd
abominably	avskyvärt
abominate	hata
abomination	avsky
abort	avbryta
aborted	avbruten
aborts	avbryter
abrade	abradera
abrasive	slipmedel
abruptly	tvärt
abscond	avvika
absence	frånvaro
absent-minded	tankspridd
absentee	frånvarande
absurdity	absurditet
absurdly	absurt
abuse	missbruk
abuses	missbruk
abusive	missbruk
abysmal	bottenlös
abyss	avgrund
accidental	tillfällig
accost	tala
accursed	förbannad
accusation	anklagelse
accusations	anklagelser
accuse	anklaga
accuses	anklagar
accusing	anklagar
acerbic	kärv
ache	värk
ached	värkte
aches	värk
aching	värk
acrid	frän
acridness	FRÄNHET
acrimonious	bitter
acrimony	bitterhet
adamant	orubblig
adamantly	benhårt
addict	missbrukare
addicted	Beroende
addicting	beroendeframkallande
addicts	missbrukare
admonish	förmana
admonisher	förman
admonition	förmaning
adulterate	förfalska
adulterated	uppblandat
adulteration	förfalskning
adversarial	kontradiktoriskt
adversary	motståndare
adverse	ogynnsam
adversity	motgång
afflict	plåga
affliction	lidande
affront	skymf
afraid	rädd
aggravate	förvärra
aggravating	försvårande
aggravation	förvärrande
aggressive	aggressiv
aggressiveness	aggressivitet
aggressor	angripare
aggrieve	kränka
aggrieved	förfördelad
aghast	bestört
agonize	pina
agonizing	plågsam
agony	vånda
ailing	sjuklig
ailment	sjukdom
alarm	larm
alarmed	orolig
alarming	oroväckande
alarmingly	alarmerande
alienate	fjärma
alienated	aliene
allegation	påstående
allegations	påståenden
allege	påstå
allergic	allergisk
allergies	allergier
allergy	allergi
altercation	gräl
ambiguity	tvetydighet
ambiguous	tvetydig
ambivalence	ambivalens
ambush	bakhåll
amiss	fel
amputate	amputera
anarchism	anarkism
anarchist	anarkist
anarchistic	anarkistisk
anarchy	anarki
anemic	anemisk
anger	ilska
angrily	argt
angry	arg
anguish	ångest
animosity	fientlighet
annihilate	förinta
annihilation	förintelse
annoy	förarga
annoyance	irritation
annoyances	populärare
annoyed	irriterad
annoying	irriterande
annoyingly	irriterande
annoys	retar
anomalous	anomal
anomaly	anomali
antagonistic	antagonistisk
antagonize	motverka
anti-american	anti-amerikan
anti-israeli	anti-israeliska
anti-occupation	anti-ockupation
anti-proliferation	anti-spridning
anti-semites	antisemiter
anti-social	asocial
anti-white	anti-vit
antipathy	antipati
antiquated	föråldrad
antithetical	motsättning
anxieties	oro
anxiety	ångest
anxious	angelägen
anxiously	oroligt
anxiousness	orolighet
apathetic	apatisk
apathetically	apatiskt
apathy	apati
apocalypse	apokalyps
apocalyptic	apokalyptiskt
apologist	apologet
apologists	apologeter
appal	förfära
appall	FÖRFÄRA
appalled	bestört
appalling	skrämmande
appallingly	förfärande
apprehension	uppfattning
apprehensions	farhågor
apprehensive	orolig
arbitrary	godtycklig
arcane	hemlig
archaic	arkaisk
arduous	mödosam
arduously	mödosamt
argumentative	argumenterande
arrogance	arrogans
ashamed	skamsen
askance	snett
asperse	SMÄDA
assail	angripa
assassin	mördare
assassinate	mörda
assault	överfall
astray	vilse
asunder	sönder
atrocious	avskyvärda
atrocities	illdåd
atrocity	illdåd
atrophy	atrofi
attacks	attacker
audacious	djärv
audaciously	fräckt
audaciousness	djärvhet
audacity	djärvhet
austere	stram
authoritarian	auktoritär
autocrat	envåldshärskare
autocratic	enväldig
avalanche	lavin
avarice	girighet
avaricious	girig
avenge	hämnas
averse	obenägna
aversion	motvilja
awful	förfärlig
awfully	väldigt
awkward	besvärlig
awkwardness	pinsamhet
ax	yxa
babble	babbel
back-logged	back-loggas
back-wood	back-trä
back-woods	obygd
backache	ryggvärk
backaches	ryggsmärtor
backbite	baktala
backbiting	förtal
backward	bakåt
backwardness	bliv
backwood	Backwood
backwoods	obygd
bad	dålig
badly	dåligt
baffle	trotsa
baffled	snopen
baffling	förbryllande
bait	bete
bane	fördärv
banish	förvisa
banishment	förvisning
bankrupt	bankrutt
barbarian	barbar
barbaric	barba
barbarically	barbar
barbarity	grymhet
barbarous	barba
barbarously	barbar
barren	karg
baseless	grundlös
bashful	försagd
bastards	jävlarna
battered	slagna
battering	misshandel
bearish	baisse
beastly	djurisk
bedlam	dårhus
bedlamite	GALEN
befoul	BESMUTSA
beg	be
beggar	tiggare
beggarly	UTFATTIG
begging	tiggeri
beguile	tjusa
belated	försenad
beleaguer	BELÄGRA
belie	motsäga
belittle	förringa
belittled	förringad
bellicose	krigisk
belligerence	stridslystnad
belligerently	aggressivt
bemoan	begråta
bemused	förvirrad
bent	böjd
bereave	beröva
bereavement	förlust
bereft	berövad
berserk	bärsärk
beseech	bönfalla
beset	anfäkta
besiege	belägra
besmirch	besudla
bestial	bestialisk
betray	förråda
betrayal	svek
betrayals	förräderier
betrayer	förrädare
betraying	förråd
betrays	förråder
bewail	begråta
bewilder	förvilla
bewildered	förvirrad
bewildering	förvirrande
bewilderingly	förvirrande
bewilderment	förvirring
bewitch	förhäxa
bias	partiskhet
biased	partisk
biases	förspänner
bicker	gnabbas
bickering	gnabb
bigotry	bigotteri
bitch	tik
biting	bitande
bitterly	bittert
bitterness	bitterhet
bizarre	bisarr
blab	skvallra
blackmail	utpressning
blah	bla
blame	skylla
blameworthy	klandervärd
bland	mild
blaspheme	häda
blasphemous	hädisk
blasphemy	hädelse
blatant	uppenbar
blatantly	uppenbart
blather	pladder
bleak	dyster
bleed	blöda
bleeding	blödning
bleeds	blöder
blemish	fläck
blinding	bländande
blindingly	bländande
blister	blåsa
blistering	svidande
bloated	uppsvälld
blockage	blockering
blockhead	dumskalle
bloodshed	blodsutgjutelse
bloodthirsty	blodtörstig
bloody	blodig
blotchy	flammigt
blow	blåsa
blundering	blunde
blunders	tabbar
blunt	trubbig
blur	fläck
blurred	suddig
blurring	suddighet
blurry	suddigt
blurs	oskärpa
blurt	VRÄKA
boastful	skrytsam
bogus	falsk
boiling	kokande
boisterous	stormig
bomb	bomba
bombard	bombardera
bombardment	bombardemang
bombastic	svulstig
bondage	träldom
bore	borra
bored	uttråkad
boredom	leda
bores	borrningar
boring	tråkig
bothered	besväras
bothering	stör
bothers	besvärar
bothersome	jobbig
boycott	bojkotta
braggart	skrävlare
brainless	korkad
brash	fräck
bravado	övermod
brazen	fräck
brazenly	fräckt
brazenness	fräckhet
breach	brott
break-up	upplösning
break-ups	bryta-ups
breaking	brytning
breaks	raster
breakup	upplösning
bribery	bestickning
brimstone	svavel
bristle	borst
brittle	spröd
broke	pank
broken	bruten
broken-hearted	hjärtekrossad
brood	grubbla
browbeat	kuscha
bruise	blåmärke
bruised	plåster
bruises	blåmärken
bruising	blåmärken
brusque	brysk
brutal	Brutal
brutalising	brutalise
brutalities	brutaliteter
brutality	råhet
brutalize	brutalisera
brutalizing	brutalise
brutally	brutalt
brute	djurisk
buckle	spänne
bug	insekt
bugging	buggning
bugs	buggar
bulkier	skrymmande
bulkiness	bulkighet
bulky	skrymmande
bull****	tjur****
bull----	tjur----
bullies	mobbare
bullshit	skitsnack
bully	översittare
bullying	mobbning
bum	luffare
bump	stöta
bumped	stötte
bumping	skumpande
bumps	bulor
bumpy	ojämn
bungler	klåpare
bungling	klumpiga
bunk	sovbrits
burden	börda
burdensome	betungande
burn	bränna
burned	bränt
burning	brinnande
burns	brännskador
busts	byster
butcher	slaktare
buzzing	surrande
byzantine	bysantinsk
cackle	kackla
calamities	katastrofer
calamitous	katastrofal
calamity	katastrof
callous	okänslig
calumniate	SMÄDA
calumniation	FÖRTAL
calumny	förtal
cancerous	cancer-
cannibal	kannibal
cannibalize	kannibalisera
capitulate	kapitulera
capricious	nyckfull
capsize	kantra
careless	slarvig
carelessness	slarv
caricature	karikatyr
carnage	blodbad
carp	karp
cash-strapped	cash-fastspänd
castigate	tukta
castrated	kastrerade
casualty	skadade
cataclysm	kataklysm
cataclysmic	omvälvande
catastrophe	katastrof
catastrophes	katastrofer
catastrophic	katastrofal
catastrophically	katastrofalt
catastrophies	katastrofer
caustic	frätande
cautionary	varnande
cave	grotta
censure	klander
chafe	skava
chaff	agnar
chagrin	förtret
challenging	utmanande
chaos	kaos
chaotic	kaotisk
chasten	tukta
chastise	tukta
chastisement	straff
chatter	prat
cheap	billig
cheapen	förbilliga
cheaply	billigt
cheat	fuska
cheated	fuskat
cheater	fuskare
cheating	fusk
cheats	fusk
checkered	rutig
cheerless	glädjelös
cheesy	ostliknande
childish	barnslig
chill	kyla
chilly	kyligt
choleric	kolerisk
choppy	krabb
chore	Syssla
chronic	kronisk
chunky	tjock
clamor	larm
clamorous	larmande
clash	krock
cliche	klyscha
clique	klick
clogged	igensatt
clogs	träskor
cloud	moln
clouding	grumling
cloudy	molnig
clueless	aningslös
clumsy	klumpig
coarse	grov
cocky	kaxig
coerce	tvinga
coercion	tvång
coercive	koercitiv
cold	kall
coldly	kallt
collapse	kollaps
collusion	maskopi
combust	förbränna
comical	komisk
commiserate	ömka
commonplace	alldaglig
commotion	uppståndelse
complacent	ro
complain	klaga
complained	klagade
complaining	klagar
complains	klagar
complaint	klagomål
complaints	klagomål
complex	komplex
complicated	komplicerad
complication	komplikation
complicit	delaktig
compulsion	tvång
compulsive	tvångsmässig
concede	medge
conceded	medgav
conceit	inbilskhet
conceited	inbilsk
concen	koncen
concern	oro
concerned	bekymrad
concerns	oro
concession	koncession
concessions	eftergifter
condemn	fördöma
condemnation	fördömelse
condemned	dömd
condemns	fördömer
condescending	nedlåtande
condescendingly	nedlåtande
condescension	nedlåtenhet
confess	bekänna
confession	bekännelse
confessions	bekännelser
confined	begränsad
conflict	konflikt
conflicted	konflikt
conflicting	motstridig
conflicts	konflikter
confound	förbrylla
confounded	förväxlas
confront	konfrontera
confrontation	konfrontation
confrontational	konfronterande
confuse	förvirra
confused	förvirrad
confuses	förvirrar
confusing	förvirrande
confusion	förvirring
confusions	förvirring
congested	belastade
congestion	trängsel
cons	nackdelar
conservative	konservativ
conspicuous	iögonfallande
conspicuously	iögonenfallande
conspiracies	konspirationer
conspiracy	konspiration
conspirator	konspiratör
conspiratorial	konspiratorisk
conspire	konspirera
consternation	bestörtning
contagious	smittosam
contaminate	förorena
contaminated	förorenade
contaminates	föroreningar
contaminating	kontaminerande
contamination	förorening
contempt	förakt
contemptible	föraktlig
contemptuous	förakt
contemptuously	förakt
contend	strida
contention	påstående
contentious	omtvistad
contort	sno
contradict	motsäga
contradiction	motsägelse
contradictory	motsägande
contrariness	motsats
contravene	strida
controversial	kontroversiell
controversy	kontrovers
convoluted	invecklad
corrode	korrodera
corrosion	korrosion
corrosions	korrosion
corrosive	frätande
corrupt	korrupt
corrupted	skadad
corrupting	korrumperande
corruption	korruption
corrupts	fördärvar
costlier	dyrare
costly	kostsam
counter-productive	kontraproduktivt
counterproductive	kontraproduktivt
covetous	girig
coward	feg
cowardly	feg
crack	spricka
cracked	knäckt
cracks	sprickor
craftily	listigt
crafty	listig
cramp	kramp
cramped	trång
cramping	kramper
crap	skit
crappy	kass
crash	krascha
crashed	kraschat
crashes	krascher
crashing	kraschar
crass	krass
craven	feg
cravenly	fegt
craze	dille
crazy	galen
creak	knarra
creaking	gnällig
credulous	godtrogen
creep	krypa
creeping	krypande
creeps	kryper
creepy	kuslig
crept	kröp
crime	brottslighet
criminal	kriminell
cringe	krypa
cripple	krympling
crippled	lam
cripples	krymplingar
crippling	förlamande
crisis	kris
critic	kritiker
critical	kritisk
criticism	kritik
criticisms	kritik
criticize	klandra
criticized	kritiserats
criticizing	kritisera
critics	kritik
crook	skurk
crooked	krokig
crooks	skurkar
crude	rå
cruel	grym
crueler	grymmare
cruelly	grymt
cruelties	grymheter
cruelty	grymhet
crummy	kass
crumpled	skrynkliga
crumples	knyck
crush	krossa
crushed	krossad
crushing	förkrossande
cry	gråta
culpable	skyldig
culprit	brottsling
cumbersome	besvärlig
cunt	fitta
curse	förbanna
cursed	förbannad
curses	förbannelser
curt	kyligt
cuss	förbannelse
cutthroat	mördande
cynical	cynisk
cynicism	cynism
damage	skada
damaged	skadad
damages	skadestånd
damaging	skadlig
damn	attans
damnably	förbannat
damnation	fördömelse
damned	förbannad
damning	graverande
damper	spjäll
danger	fara
dangerous	farlig
dangerousness	farlighet
dark	mörk
darken	mörkna
darkened	förmörkad
darker	mörkare
darkness	mörker
dastard	PULTRON
dastardly	usel
daunt	skrämma
daunting	skrämmande
daze	dvala
dazed	förvirrad
dead	död
deadlock	dödläge
deadly	dödligt
deadweight	dödvikt
deaf	döv
dearth	brist
death	död
debase	förnedra
debasement	förnedring
debatable	diskutabelt
debauch	orgie
debauchery	utsvävningar
debilitate	försvagar
debilitating	försvagande
debility	svaghet
debt	skuld
debts	fordringar
decadence	förfall
decadent	dekadent
decay	förfall
decayed	förfallen
deceit	svek
deceitful	bedräglig
deceitfully	falskt
deceitfulness	bedräglighet
deceive	lura
deceiver	bedragare
deceivers	bedragare
deceiving	lura
deception	bedrägeri
deceptive	vilseledande
deceptively	bedrägligt
declaim	deklamera
decline	nedgång
declines	nedgångar
declining	minskande
decrement	minskning
decrepit	skröplig
decrepitude	skröplighet
decry	fördöma
defamation	ärekränkning
defamations	förtal
defamatory	ärekränkande
defame	förtala
defect	defekt
defective	defekt
defects	defekter
defensive	defensiv
defiance	trots
defiant	trotsig
deficiencies	brister
deficiency	brist
deficient	bristfällig
defile	orena
deform	deformera
deformed	deformerad
defrauding	bedra
defunct	borttaget
defy	trotsa
degenerate	degenererad
degradation	degradering
degrade	degradera
degrading	nedbrytande
dehumanization	avhumanisering
deign	värdigas
dejected	nedslagen
dejection	förstämning
delay	dröjsmål
delayed	försenad
delaying	fördröjande
delays	förseningar
delinquency	brottslighet
delinquent	brottsling
delirious	yrande
delude	lura
deluded	vilseledda
deluge	syndaflod
delusion	villfarelse
delusional	förvirrad
delusions	vanföreställningar
demean	förnedra
demeaning	nedsättande
demise	frånfälle
demolish	förstöra
demolisher	Demolisher
demonic	demonisk
demonizes	demoniserar
demonizing	demonisering
demoralize	demoralisera
denial	avslag
denied	nekas
denies	förnekar
denounce	fördöma
dense	tät
dent	buckla
dented	bucklig
dents	bucklor
denunciation	uppsägning
denunciations	angivelser
deny	förneka
denying	förneka
deplete	tömma
deplorable	beklaglig
deplorably	beklagligt
deploring	beklagligt
deprave	DEMORALISERA
depraved	depraverad
deprecate	nedvärdera
depress	sänka
depressed	deprimerad
depressing	deprimerande
depressingly	deprimerande
depressions	fördjupningar
deprive	beröva
deprived	berövade
deride	förlöjliga
derision	hån
derisive	hånfull
derogatory	nedsättande
desecrate	vanhelga
desert	öken-
desertion	övergivenhet
desiccate	uttorka
desiccated	uttorkad
desolate	ödslig
desolately	ödsligt
desolation	ödslighet
despair	förtvivlan
despairing	förtvivlad
desperate	desperat
desperately	desperat
despicable	föraktlig
despise	förakta
despised	föraktade
despoil	plundra
despoiler	Despoiler
despondency	förtvivlan
despondent	förtvivlad
despotic	despotisk
destabilisation	destabilisering
destitute	utblottad
destitution	nöd
destroy	förstöra
destroyer	jagare
destruction	förstörelse
destructive	destruktiv
desultory	osammanhängande
deter	avskräcka
deteriorate	försämras
deteriorating	försämrades
deterioration	försämring
deterrent	avskräckande
detest	avsky
detestable	avskyvärd
detested	avskydda
detests	avskyr
detract	förr
detracted	urholkat
detracting	förringa
detracts	förringar
detriment	skada
detrimental	skadlig
devastate	ödelägga
devastated	förkrossad
devastates	ödelägger
devastating	förödande
devastatingly	förödande
devastation	förödelse
deviate	avvika
deviation	avvikelse
devil	jäkel
devilish	djävulsk
devious	oärlig
diabolic	djävulsk
diabolical	djävulsk
diabolically	djävulskt
diametrically	diametralt
dick	kuk
dictator	diktator
dictatorial	diktatorisk
die	dö
died	dog
dies	dör
difficult	svår
difficulties	svårigheter
difficulty	svårighet
diffidence	misstro
dilapidated	förfallen
dilly-dally	vela
dim	dämpa
din	dån
dirt	smuts
dirty	smutsig
disable	inaktivera
disabled	Inaktiverad
disaccord	OENIGHET
disadvantage	nackdel
disadvantaged	missgynnade
disadvantageous	ogynnsam
disadvantages	nackdelar
disaffected	missnöjd
disagreeable	obehaglig
disagreeably	obehagligt
disagreement	oenighet
disappoint	svika
disappointed	besviken
disappointing	nedslående
disappointingly	tyvärr
disappointment	besvikelse
disappointments	besvikelser
disapprobation	ogillande
disapproval	ogillande
disapprove	ogilla
disapproving	ogillande
disarm	avväpna
disarray	oordning
disaster	katastrof
disastrous	katastrofal
disastrously	katastrofalt
disavowal	förnekande
disbelief	misstro
disclaim	säger
discomfit	förvirra
discomfort	obehag
discompose	UPPSKAKA
disconcert	OMINTETGÖRA
disconcerted	förvirrad
disconcerting	förvirrande
disconcertingly	oroväckande
disconsolate	otröstlig
disconsolately	tröst
discontent	missnöje
discontented	missnöjd
discontinued	avbrytas
discontinuity	avbrott
discontinuous	diskontinuerlig
discord	disharmoni
discordant	disharmonisk
discountenance	OGILLA
discourage	avskräcka
discouragement	modfälldhet
discouraging	nedslående
discouragingly	avskräckande
discourteous	ohövlig
discourteously	ohövligt
discredit	misskreditera
discrepant	avvikande
discriminate	diskriminera
discrimination	diskriminering
discriminatory	diskriminerande
disdain	förakt
disdained	föraktade
disfavor	onåd
disgrace	skam
disgraceful	vanhedrande
disgracefully	skam
disgruntle	IRRITERA
disgruntled	missnöjd
disgust	avsky
disgusted	äcklad
disgustful	VIDRIG
disgusting	äcklig
disheartening	nedslående
dishonest	oärlig
dishonestly	oärligt
dishonesty	oärlighet
dishonor	vanära
dishonorable	vanhedrande
disillusion	desillusion
disillusioned	desillusionerad
disillusionment	besvikelse
disillusions	desillusioner
disinclination	obenägenhet
disinclined	obenägen
disingenuously	oärligt
disintegrate	desintegrera
disintegrated	sönderdelas
disintegrates	sönderfaller
disintegration	upplösning
disinterested	ointresserad
dislike	motvilja
disliked	ogillade
dislikes	ogillar
disliking	aversion
disloyal	illojal
disloyalty	illojalitet
dismal	dyster
dismay	bestörtning
dismayed	bestört
dismaying	förfärande
dismissive	avvisande
disobedience	olydnad
disobedient	olydig
disorder	oordning
disordered	oordnad
disorderly	bråkig
disorganized	oorganiserad
disorient	förvirra
disoriented	desorienterad
disown	förneka
disparage	nedvärdera
disparaging	nedsättande
disparagingly	nedsättande
dispensable	umbärlig
dispirited	nedslagen
displace	förflytta
displaced	förskjuten
displease	misshaga
displeased	missnöjd
displeasing	misshag
displeasure	missnöje
disproportionate	oproportionerlig
disprove	vederlägga
disputable	diskutabel
dispute	tvist
disputed	omtvistat
disquiet	oro
disquieting	oroande
disquietingly	oroväckande
disquietude	Disquietude
disreputable	vanhedrande
disrepute	vanrykte
disrespect	respektlöshet
disrespectful	respektlös
disrespectfully	respektlöst
disrupt	störa
disruption	avbrott
disruptive	störande
dissatisfaction	missnöje
dissatisfactory	otillfredsställande
dissatisfied	missnöjd
dissatisfy	missnöjd
dissed	dissad
dissembler	HYCKLARE
dissension	oenighet
dissent	meningsskiljaktighet
dissention	dissen
disservice	otjänst
dissidence	oliktänkande
dissidents	dissidenter
dissing	dissar
dissocial	OSÄLLSKAPLIG
dissolute	utsvävande
dissolution	upplösning
dissonance	dissonans
dissonant	disharmonisk
dissuade	avråda
dissuasive	avskräckande
distaste	avsmak
distasteful	motbjudande
distort	förvränga
distorted	förvrängd
distortion	förvrängning
distorts	förvränger
distract	distrahera
distracting	distraherande
distraction	distraktion
distraught	upprörd
distress	ångest
distressed	bedrövad
distressing	ömmande
distrust	misstro
distrustful	misstänksam
distrusting	misstro
disturb	störa
disturbance	störning
disturbed	störd
disturbing	störande
disunity	oenighet
divergent	avvikande
divisive	splitt
divisiveness	splittring
dizzy	yr
dogged	envis
doggedly	envist
dogmatic	dogmatisk
doldrums	stiltje
domineer	DOMINERA
domineering	dominerande
doom	undergång
doomed	dömd
doomsday	domedag
dope	dopa
doubt	tvivel
doubtful	tveksam
doubtfully	tveksamt
doubts	tvivel
douchbag	Douchbag
downcast	nedslagen
downfall	undergång
downgrade	nedvärdera
downhearted	nedstämd
downhill	utför
downside	nackdelen
downturn	nedgången
downturns	nedgångar
draconian	drakonisk
dragged	släpade
dragging	dra
dragoon	dragon
drags	drar
drain	dränera
drained	dränerad
draining	avtappning
drains	avlopp
drastic	drastisk
drastically	drastiskt
drawback	nackdel
drawbacks	nackdelar
dread	fruktan
dreadful	hemsk
dreadfully	fruktansvärt
dreary	trist
dripped	droppade
dripping	droppande
drips	droppar
drones	drönare
droop	sloka
droops	slokar
drought	torka
drowning	drunkning
drunk	full
drunkard	drinkare
drunken	berusad
dubious	tvivelaktig
dubitable	TVIVELAKTIG
dud	BLINDGÅNGARE
dull	tråkig
dumb	dum
dumbfound	FÖRSTUMMA
dump	dumpa
dumped	dumpade
dumping	dumpning
dumps	soptippar
dunce	dumhuvud
dungeon	fängelsehåla
dungeons	fängelsehålor
dupe	dupera
dust	damm
dusty	dammig
dwindling	krympande
dying	döende
eccentric	excentrisk
eccentricity	excentricitet
effigy	avbildning
effrontery	oförskämdhet
egocentric	egocentrisk
egomania	egomani
egotistically	egoistiskt
egregious	oerhörd
election-rigger	val-riggare
elimination	eliminering
emaciated	utmärglad
emasculate	kastrera
embarrass	besvära
embarrassing	pinsam
embarrassingly	pinsamt
embarrassment	förlägenhet
embattled	kämpande
embroiled	indragen
embroilment	FÖRVECKLING
emergency	nödsituation
emphatic	eftertrycklig
emptiness	tomhet
encroach	inkräkta
encroachment	intrång
endanger	äventyra
enemies	fiender
enemy	fiende
enfeeble	försvaga
engulf	uppsluka
enjoin	ålägga
enmity	fiendskap
enraged	rasande
entanglement	förveckling
entrap	snärja
entrapment	infångning
envious	avundsjuk
enviously	avundsjukt
epidemic	epidemi
equivocal	tvetydig
erase	radera
erode	erodera
erodes	eroderar
err	fela
errant	felande
erratic	oregelbunden
erratically	oregelbundet
erroneous	felaktig
erroneously	Felaktig
error	fel
errors	fel
eruptions	utbrott
escapade	eskapad
estranged	främmande
evade	undgå
evasion	undvikande
evasive	undvikande
evil	ondska
evildoer	illgärningsman
evils	onda
eviscerate	rensning
exacerbate	förvärra
exaggerate	överdriva
exaggeration	överdrift
exasperate	reta
exasperated	förbittrad
exasperating	irriterande
exasperatingly	förtvivlat
exasperation	förbittring
excessive	överdriven
excessively	alltför
exclusion	uteslutning
excruciating	olidlig
excuse	ursäkt
excuses	ursäkter
execrate	förbanna
exhaust	uttömma
exhausted	utmattad
exhaustion	utmattning
exhausts	avgaser
exhort	uppmana
exile	exil
exorbitant	orimlig
exorbitantly	omåttligt
expel	utvisa
expensive	dyr
expire	upphöra
expired	utgånget
explode	explodera
exploit	utnyttja
exploitation	utnyttjande
explosive	explosiv
expropriate	expropriera
expunge	utplåna
exterminate	utrota
extermination	utrotning
extinguish	släcka
extortion	utpressning
extraneous	främmande
extravagance	extravagans
extremists	extremister
fabricate	tillverka
fabrication	tillverkning
facetious	skämtsam
facetiously	skämt
fail	misslyckas
failed	misslyckades
failing	brist
fails	misslyckas
failure	fel
failures	misslyckanden
faint	svag
fainthearted	småsint
faithless	trolös
fake	falsk
fall	falla
fallacies	vanföreställningar
fallacious	vilseledande
fallacy	felslut
falling	faller
false	falsk
falsehood	lögn
falsely	falskt
falsify	förfalska
falter	vackla
famine	svält
famished	utsvulten
fanatic	fanatiker
fanatical	fanatisk
fanatically	fanatiskt
fanaticism	fanatism
fanatics	fanatiker
fanciful	fantasifull
far-fetched	långsökt
farce	fars
farcical	farsartad
farcically	farsartat
farfetched	långsökt
fascist	fascistisk
fastidious	kräsen
fastidiously	idogt
fat	fett
fatal	dödlig
fatalistic	fatalistisk
fatalistically	fatalistiskt
fatally	dödligt
fateful	ödesdiger
fatefully	ödesdigert
fathomless	bottenlös
fatigue	Trötthet
fatigued	trött
fatique	utmattnings
fatty	fet
fatuity	dumhet
fatuous	enfaldig
fatuously	MENINGSLÖST
fault	fel
faults	fel
faulty	felaktig
fear	rädsla
fearful	rädd
fearfully	fruktans
fears	rädsla
fearsome	skrämmande
feckless	hjälplös
feeble	svag
feebleminded	sinnessvag
feign	hyckla
feint	fint
fell	föll
felon	brottsling
ferociously	ursinnigt
ferocity	grymhet
fetid	stinkande
fever	feber
feverish	febrig
fevers	feber
fiasco	fiasko
