abound	abbondare
sweetness	dolcezza
swift	veloce
swiftness	sveltezza
talent	talento
talented	talentuoso
talents	talenti
tantalize	stuzzicare
tantalizing	allettante
tempt	tentare
tempting	allettante
tenacious	tenace
tenaciously	tenacemente
tenacity	tenacia
tender	tenero
tenderly	teneramente
terrific	terribile
thank	grazie
thankful	grato
thoughtful	riflessivo
thoughtfully	pensierosamente
thoughtfulness	pensosità
thrift	parsimonia
thrifty	parsimonioso
thrill	brivido
thrilled	entusiasti
thrilling	eccitante
thrills	emozioni
thrive	prosperare
thriving	fiorente
thumb-up	pollice-up
tickle	solletico
tidy	ordinato
timely	tempestivo
tingle	formicolare
titillate	titillare
titillating	pruriginoso
togetherness	solidarieta
tolerable	tollerabile
top	superiore
tops	cime
tough	difficile
traction	trazione
tranquil	tranquillo
transparent	trasparente
treasure	Tesoro
tremendously	tremendamente
triumph	trionfo
triumphal	trionfale
triumphant	trionfante
triumphantly	trionfalmente
trivially	banalmente
trophy	trofeo
trump	briscola
trumpet	tromba
trust	fiducia
trusting	fiducia
trustworthiness	attendibilità
trustworthy	fidato
trusty	fidato
truthful	veritiero
truthfully	sinceramente
truthfulness	veracità
ultra-crisp	ultra-nitido
unabashed	imperturbabile
unabashedly	sfacciatamente
unassailable	inattaccabile
unbeatable	imbattibile
unbiased	imparziale
unbound	Unbound
uncomplicated	semplice
unconditional	incondizionato
undaunted	imperterrito
understandable	comprensibile
undisputably	indiscutibilmente
undisputed	indiscusso
unequivocal	inequivocabile
unequivocally	inequivocabilmente
unfazed	impassibile
unforgettable	indimenticabile
unity	unità
unlimited	illimitato
unmatched	impareggiabile
unparalleled	ineguagliabile
unquestionable	indiscutibile
unquestionably	indiscutibilmente
unreal	irreale
unrestricted	illimitato
unselfish	altruista
unwavering	incrollabile
upbeat	ottimista
upgradable	aggiornabile
upgradeable	aggiornabile
upgraded	aggiornato
upheld	confermata
uphold	sostenere
uplift	sollevamento
uplifting	edificante
usable	utilizzabile
useable	utilizzabile
useful	utile
valiant	valoroso
valiantly	valorosamente
valor	valore
valuable	prezioso
variety	varietà
venerate	venerare
verifiable	verificabile
veritable	vero
versatility	versatilità
vibrant	vibrante
vibrantly	vibrante
victorious	vittorioso
victory	vittoria
viewable	visualizzabile
vigilance	vigilanza
vigilant	vigile
virtue	virtù
virtuous	virtuoso
virtuously	onestamente
visionary	visionario
vivacious	vivace
vivid	vivido
vouch	garantire
warm	caldo
warmly	calorosamente
warmth	calore
wealthy	ricco
welcome	benvenuto
well	bene
well-balanced	equilibrato
well-behaved	beneducato
well-being	benessere
well-bred	beneducato
well-known	notorio
well-mannered	educato
well-wishers	sostenitori
wellbeing	benessere
wholesome	sano
whoooa	Whoooa
wieldy	maneggevole
willing	disposto
willingly	volentieri
win	vincere
windfall	manna
winner	vincitore
winners	vincitori
winning	vincente
wins	vittorie
wisdom	saggezza
wise	saggio
witty	spiritoso
wonder	meravigliarsi
wonderful	meraviglioso
wonderfully	meravigliosamente
wonders	meraviglie
wondrous	meraviglioso
woo	corteggiare
work	lavoro
workable	lavorabile
worked	lavorato
works	lavori
worthiness	merito
worthwhile	utile
worthy	degno
wow	Wow
wowed	entusiasmato
wowing	allietando
yay	Sìì
youthful	giovanile
zeal	zelo
zenith	zenit
zest	gusto
zippy	vigoroso
2-faces	2-facce
abnormal	anormale
abolish	abolire
abominable	abominevole
abominably	abominevolmente
abominate	abominare
abomination	abominio
abort	abortire
aborted	abortito
aborts	interrompe
abrade	erodere
abrasive	abrasivo
abrupt	brusco
abruptly	improvvisamente
abscond	scappare
absence	assenza
absent-minded	distratto
absentee	assente
absurd	assurdo
absurdity	assurdità
absurdly	assurdo
absurdness	assurdità
abuse	abuso
abused	abusato
abuses	abusi
abusive	abusivo
abysmal	abissale
abysmally	abissalmente
abyss	abisso
accidental	accidentale
accost	accostare
accursed	maledetto
accusation	accusa
accusations	accuse
accuse	accusare
accuses	accusa
accusing	accusando
acerbically	aspramente
ache	dolore
ached	doleva
aches	dolori
achey	Achey
aching	dolorante
acrid	acre
acrimonious	acrimonioso
acrimony	acrimonia
adamant	inflessibile
adamantly	categoricamente
addict	dipendente
addicted	dipendente
addicting	avvincente
addicts	tossicodipendenti
admonish	ammonire
admonisher	ammonitore
admonishingly	ammonitore
admonishment	ammonimento
admonition	ammonizione
adulterate	adulterare
adulterated	alterato
adulteration	adulterazione
adversarial	contraddittorio
adversary	avversario
adverse	avverso
adversity	avversità
afflict	affliggere
affliction	afflizione
affront	affronto
afraid	impaurito
aggravate	aggravare
aggravating	aggravante
aggravation	aggravamento
aggression	aggressione
aggressive	aggressivo
aggressiveness	aggressività
aggressor	aggressore
aggrieve	addolorare
aggrieved	addolorato
aghast	inorridito
agonies	agonie
agonize	agonizzare
agonizing	agonizzante
agonizingly	agonisingly
agony	agonia
ailing	malaticcio
ailment	malattia
alarm	allarme
alarmed	allarmato
alarming	allarmante
alarmingly	allarmante
alienate	alienare
alienated	alienato
alienation	alienazione
allegation	allegazione
allegations	accuse
allege	asserire
allergic	allergico
allergies	allergie
allergy	allergia
aloof	distaccato
altercation	alterco
ambiguity	ambiguità
ambiguous	ambiguo
ambivalence	ambivalenza
ambivalent	ambivalente
ambush	imboscata
amiss	male
amputate	amputare
anarchism	anarchia
anarchist	anarchico
anarchistic	anarchica
anarchy	anarchia
anemic	anemico
anger	rabbia
angrily	irosamente
angry	arrabbiato
anguish	angoscia
animosity	animosità
annihilate	annientare
annihilation	annientamento
annoy	infastidire
annoyance	fastidio
annoyances	fastidi
annoyed	infastidito
annoying	fastidioso
annoyingly	fastidiosamente
annoys	infastidisce
anomalous	anomalo
anomaly	anomalia
antagonism	antagonismo
antagonist	antagonista
antagonistic	antagonistico
antagonize	inimicarsi
anti-american	anti-americano
anti-israeli	anti-israeliana
anti-occupation	anti-occupazione
anti-proliferation	anti-proliferazione
anti-semites	antisemiti
anti-social	antisociale
anti-white	anti-bianco
antipathy	antipatia
antiquated	antiquato
antithetical	antitetico
anxieties	ansie
anxiety	ansia
anxious	ansioso
anxiousness	ansia
apathetic	apatico
apathy	apatia
apocalypse	apocalisse
apocalyptic	apocalittico
apologist	apologeta
apologists	apologeti
appal	atterrire
appall	atterrire
appalled	inorridito
appalling	terribile
appallingly	spaventosamente
apprehension	apprensione
apprehensions	apprensioni
apprehensive	apprensivo
apprehensively	apprensione
arbitrary	arbitrario
arcane	arcano
archaic	arcaico
arduous	arduo
argumentative	polemico
arrogance	arroganza
arrogant	arrogante
arrogantly	arrogantemente
asinine	stupido
asperse	calunniare
aspersion	aspersione
aspersions	calunnie
assail	assalire
assassin	assassino
assassinate	assassinare
assault	assalto
atrocious	atroce
atrocities	atrocità
atrocity	atrocità
atrophy	atrofia
attack	attacco
attacks	attacchi
audacious	audace
audaciously	audacemente
audacity	audacia
austere	austero
authoritarian	autoritario
autocrat	autocrate
autocratic	autocratico
avalanche	valanga
avarice	avarizia
avaricious	avaro
avariciously	avarizia
avenge	vendicare
averse	avverso
aversion	avversione
aweful	pessima
awful	terribile
awfully	terribilmente
awfulness	terribilità
awkward	scomodo
awkwardness	imbarazzo
ax	ascia
babble	balbettio
back-logged	back-registrati
back-wood	back-legno
back-woods	back-boschi
backbite	calunniare
backbiting	maldicenza
backward	arretrato
backwardness	arretratezza
bad	cattivo
badly	male
baffle	deflettore
baffled	sconcertato
baffling	sconcertante
bait	esca
balk	ostacolo
banal	banale
banalize	banalizzare
bane	veleno
banish	bandire
banishment	esilio
bankrupt	fallito
barbarian	barbaro
barbaric	barbaro
barbarically	barbaramente
barbarity	barbarie
barbarous	barbaro
barbarously	barbaramente
barren	sterile
baseless	infondato
bashful	vergognoso
bashing	colpire
bastard	bastardo
bastards	bastardi
battered	malconcio
battering	avariato
batty	pazzo
bearish	ribassista
beastly	bestiale
bedlam	manicomio
bedlamite	pazzo
befoul	insudiciare
beg	elemosinare
beggar	mendicante
beggarly	povero
begging	accattonaggio
beguile	ingannare
belated	tardivo
beleaguer	assediare
belie	smentire
belittle	sminuire
belittled	sminuito
belittling	sminuire
bellicose	bellicoso
belligerence	belligeranza
belligerent	belligerante
belligerently	bellicoso
bemoan	lamentarsi
bemoaning	lamentando
bemused	perplesso
bent	piegato
berate	rimproverare
bereave	spogliare
bereavement	lutto
bereft	privo
berserk	frenetico
beseech	supplicare
beset	assalire
besiege	assediare
besmirch	imbrattare
bestial	bestiale
betray	tradire
betrayal	tradimento
betrayals	tradimenti
betrayer	traditore
betraying	tradire
betrays	tradisce
bewail	lamentare
beware	diffidare
bewilder	disorientare
bewildered	sconcertato
bewildering	sconcertante
bewilderment	smarrimento
bewitch	ammaliare
bias	pregiudizio
biased	parziale
biases	pregiudizi
bicker	bisticciare
bickering	battibecco
bigotry	bigottismo
bitch	cagna
bitchy	bisbetico
biting	pungente
bitter	amaro
bitterly	amaramente
bitterness	amarezza
bizarre	bizzarro
blab	spifferare
blabber	chiacchierone
blackmail	ricatto
blah	bla
blame	colpa
blameworthy	biasimevole
bland	blando
blandish	blandire
blaspheme	bestemmiare
blasphemous	blasfemo
blasphemy	bestemmia
blasted	maledetto
blatant	sfacciato
blatantly	platealmente
blather	ciarlare
bleak	brullo
bleakness	squallore
bleed	sanguinare
bleeding	emorragia
bleeds	sanguina
blemish	macchia
blind	cieco
blinding	accecante
blindingly	accecante
blister	bolla
blistering	vesciche
bloated	gonfio
blockage	ostruzione
blockhead	stupido
bloodthirsty	sanguinario
bloody	sanguinoso
blotchy	macchiata
blow	soffio
blunder	abbaglio
blunders	errori
blunt	smussato
blur	sfocatura
blurred	sfocato
blurring	sfocatura
blurry	sfocato
blurs	sfocature
blurt	spifferare
boastful	vanagloriosi
boggle	trasecolare
bogus	finto
boil	Bollire
boiling	bollente
boisterous	chiassoso
bomb	bomba
bombard	bombardare
bombardment	bombardamento
bombastic	ampolloso
bondage	servitù
bore	foro
bored	annoiato
bores	fori
boring	noioso
botch	pasticcio
bother	preoccuparsi
bothered	seccato
bothering	fastidioso
bothers	fastidio
bothersome	fastidioso
bowdlerize	espurgare
boycott	boicottare
braggart	spaccone
brash	insolente
brat	monello
bravado	bravata
brazen	sfacciato
brazenly	sfacciatamente
brazenness	sfacciataggine
breach	violazione
break	rompere
break-up	rottura
break-ups	break-up
breakdown	abbattersi
breaking	rottura
breaks	pause
breakup	rottura
breakups	rotture
bribery	corruzione
brimstone	zolfo
bristle	setola
brittle	fragile
broke	rotto
broken	rotto
broken-hearted	affranto
brood	covata
bruise	livido
bruised	contuso
bruises	contusioni
bruising	ecchimosi
brusque	brusco
brutal	brutale
brutalising	brutalizzante
brutalities	brutalità
brutality	brutalità
brutalize	abbrutire
brutalizing	brutalizzante
brutally	brutalmente
brute	bruto
brutish	brutale
buckle	fibbia
bug	insetto
bugging	intercettazioni
buggy	passeggino
bugs	bug
bulkier	ingombranti
bulkiness	voluminosità
bulky	ingombrante
bull****	Toro****
bull----	Toro----
bullies	bulli
bullshit	cazzate
bully	prepotente
bullying	bullismo
bum	culo
bump	urto
bumped	urtato
bumping	urtando
bumps	urti
bumpy	accidentato
bungle	pasticciare
bungler	pasticcione
bunk	cuccetta
burden	fardello
burdensome	gravoso
burn	bruciare
burned	bruciato
burning	ardente
burns	ustioni
bust	busto
busts	busti
busybody	ficcanaso
butcher	macellaio
buzzing	ronzio
byzantine	bizantino
cackle	schiamazzare
calamities	calamità
calamitous	calamitoso
calamity	calamità
callous	insensibile
calumniate	calunniare
calumnies	calunnie
calumnious	calunnioso
calumny	calunnia
cancer	cancro
cancerous	canceroso
cannibal	cannibale
cannibalize	cannibalizzare
capitulate	arrendersi
capricious	capriccioso
capriciously	capricciosamente
capriciousness	capricciosità
capsize	capovolgersi
careless	negligente
carelessness	trascuratezza
caricature	caricatura
carnage	carneficina
carp	carpa
castigate	castigare
castrated	castrato
casualty	vittima
cataclysm	cataclisma
cataclysmic	cataclisma
cataclysmically	cataclisma
catastrophe	catastrofe
catastrophes	catastrofi
catastrophic	catastrofico
catastrophically	catastroficamente
catastrophies	catastrofi
caustic	caustico
caustically	causticamente
cautionary	cauzionale
cave	grotta
censure	censura
chafe	logorare
chaff	pula
chagrin	disappunto
challenging	stimolante
chaos	caos
chaotic	caotico
chasten	castigare
chastise	castigare
chastisement	castigo
chatter	vibrazione
chatterbox	chiacchierone
cheapen	menomare
cheat	truffare
cheated	truffato
cheater	imbroglione
cheating	imbrogliare
cheats	trucchi
checkered	scacchi
cheerless	triste
cheesy	formaggio
chide	rimproverare
childish	infantile
chill	freddo
chilly	freddo
choke	soffocare
choleric	collerico
choppy	increspato
chore	lavoretto
chronic	cronico
chunky	grosso
clamor	clamore
clamorous	clamoroso
clash	scontro
cliche	cliché
clique	cricca
clog	zoccolo
clogged	intasato
clogs	zoccoli
cloud	nube
clouding	annebbiamento
cloudy	nuvoloso
clumsy	maldestro
clunky	goffo
coarse	grossolano
cocky	spavaldo
coerce	costringere
coercion	coercizione
coercive	coercitivo
cold	freddo
coldly	freddamente
collapse	crollo
collusion	collusione
combative	combattivo
comical	comico
commiserate	commiserare
commotion	confusione
commotions	commozioni
complacent	compiaciuto
complain	lamentarsi
complained	lamentato
complaining	lamentarsi
complaint	denuncia
complex	complesso
complicated	complicato
complication	complicazione
complicit	complici
compulsion	costrizione
compulsive	compulsivo
concede	concedere
conceded	concesso
conceit	presunzione
conceited	presuntuoso
concern	preoccupazione
concerns	preoccupazioni
concession	concessione
concessions	concessioni
condemn	condannare
condemnable	condannabile
condemnation	condanna
condemned	condannato
condemns	condanna
condescend	condiscendere
condescending	condiscendente
condescendingly	condiscendente
condescension	condiscendenza
confess	confessare
confession	confessione
confessions	confessioni
confined	confinato
conflict	conflitto
conflicted	conflitto
conflicting	conflitto
conflicts	conflitti
confound	confondere
confounded	confuso
confounding	confusione
confront	affrontare
confrontation	confronto
confrontational	conflittuale
confuse	confuso
confused	confuso
confuses	confonde
confusing	confusione
confusion	confusione
confusions	confusioni
congested	congestionato
congestion	congestione
conservative	prudente
conspicuous	cospicuo
conspicuously	cospicuamente
conspiracies	cospirazioni
conspiracy	cospirazione
conspirator	cospiratore
conspiratorial	complice
conspire	cospirare
consternation	sbigottimento
contagious	contagioso
contaminate	contaminare
contaminated	contaminati
contaminates	contamina
contaminating	contaminando
contamination	contaminazione
contempt	disprezzo
contemptible	spregevole
contemptuous	sprezzante
contemptuously	sprezzante
contend	contendersi
contention	contesa
contentious	contenzioso
contort	contorcere
contortions	contorsioni
contradict	contraddire
contradiction	contraddizione
contradictory	contraddittorio
contrariness	contrarietà
contravene	contravvenire
contrive	escogitare
contrived	artificiosa
controversial	controverso
controversy	controversia
convoluted	involuto
corrode	corrodersi
corrosion	corrosione
corrosions	corrosioni
corrosive	corrosivo
corrupt	corrotto
corrupted	corrotti
corrupting	corruttore
corruption	corruzione
corrupts	corrompe
costly	costoso
counter-productive	controproducente
counterproductive	controproducente
covetous	avido
coward	codardo
cowardly	vigliaccamente
crabby	scorbutico
crack	crepa
cracked	screpolato
cracks	crepe
craftily	astutamente
crafty	furbo
cramp	crampo
cramped	ristretto
cramping	crampi
cranky	irritabile
crappy	scadente
crash	schianto
crashed	incidentato
crashing	schiantarsi
crass	grossolano
craven	codardo
cravenly	vigliaccamente
craze	mania
crazily	follemente
craziness	follia
crazy	pazzo
creak	scricchiolare
creaking	cigolio
creaks	scricchiola
credulous	credulo
creep	strisciamento
creeping	strisciante
creeps	brividi
creepy	raccapricciante
crept	insinuato
crime	crimine
criminal	penale
cringe	strisciare
cripple	storpio
crippled	paralizzato
cripples	storpi
crippling	paralizzante
crisis	crisi
critic	critico
critical	critico
criticism	critica
criticisms	critiche
criticize	criticare
criticized	criticato
criticizing	criticando
critics	critica
cronyism	clientelismo
crook	truffatore
crooked	storto
crooks	truffatori
crowded	affollato
crude	greggio
cruel	crudele
cruelly	crudelmente
cruelties	crudeltà
cruelty	crudeltà
crumble	crollare
crumbling	cadente
crummy	scadente
crumple	stropicciare
crumpled	spiegazzato
crumples	accartoccia
crush	schiacciare
crushed	schiacciato
crushing	schiacciamento
cry	piangere
culpable	colpevole
culprit	colpevole
cumbersome	ingombrante
cunt	fica
cunts	fiche
curse	maledizione
cursed	maledetto
curses	maledizioni
curt	conciso
cuss	maledizione
cussed	maledetto
cutthroat	assassino
cynical	cinico
cynicism	cinismo
damage	danno
damaged	danneggiato
damages	danni
damaging	danneggiamento
damn	Dannazione
damnable	dannabile
damnation	dannazione
damned	dannato
damning	schiacciante
damper	ammortizzatore
danger	Pericolo
dangerous	pericoloso
dangerousness	pericolosità
dark	buio
darken	scurire
darkened	buia
darkness	buio
dastard	vigliacco
daunt	scoraggiare
daunting	scoraggiante
dauntingly	scoraggiante
dawdle	gingillarsi
daze	stordimento
dazed	stordito
dead	morto
deadbeat	scroccone
deadly	mortale
deaf	sordo
dearth	scarsità
death	Morte
debacle	sfacelo
debase	avvilire
debasement	svilimento
debaser	Debaser
debatable	discutibile
debauch	corrompere
debaucher	corruttore
debauchery	dissolutezza
debilitate	debilitare
debilitating	debilitante
debility	debolezza
debt	debito
debts	debiti
decadence	decadenza
decadent	decadente
decay	decadimento
decayed	cariato
deceit	inganno
deceitful	ingannevole
deceitfulness	falsità
deceive	ingannare
deceiver	ingannatore
deceivers	ingannatori
deceiving	ingannando
deception	inganno
deceptive	ingannevole
deceptively	ingannevolmente
declaim	declamare
decline	declino
declines	declini
decrement	diminuzione
decrepit	decrepito
decrepitude	decrepitezza
defamation	diffamazione
defamations	diffamazioni
defamatory	diffamatorio
defame	diffamare
defect	difetto
defective	difettoso
defects	difetti
defensive	difensiva
defiance	sfida
defiant	provocatorio
deficiencies	carenze
deficiency	carenza
deficient	deficiente
defile	profanare
deform	deformare
deformed	deforme
defrauding	frodare
defunct	defunto
defy	sfidare
degenerate	degenerare
degeneration	degenerazione
degradation	degradazione
degrade	degradare
degrading	degradante
degradingly	degradante
dehumanization	disumanizzazione
dehumanize	disumanare
deign	degnare
deject	deprimere
dejected	sconsolato
dejectedly	sconsolato
dejection	sconforto
delay	ritardo
delayed	ritardato
delaying	dilatoria
delays	ritardi
delinquency	delinquenza
delinquent	delinquente
delirious	delirante
delirium	delirio
delude	illudere
deluded	illuso
deluge	diluvio
delusion	illusione
delusional	delirante
delusions	deliri
demean	avvilire
demeaning	avvilente
demise	decesso
demolish	demolire
demon	demone
demonic	demonico
demonize	demonizzare
demonized	demonizzato
demonizes	demonizza
demonizing	demonizzazione
demoralize	demoralizzare
demoralizing	demoralizzante
denial	rifiuto
denied	negato
denies	nega
denigrate	denigrare
denounce	denunciare
dense	denso
dent	ammaccatura
dented	ammaccato
dents	ammaccature
denunciation	denuncia
denunciations	denunce
deny	negare
denying	negando
deplete	esaurire
deplorable	deplorevole
deplorably	deplorevolmente
deplore	deplorare
deploring	deplorando
deploringly	deplorazione
deprave	depravare
depraved	depravato
deprecate	disapprovare
depress	deprimere
depressed	depresso
depressing	deprimente
depression	depressione
depressions	depressioni
deprive	privare
deprived	deprivato
deride	deridere
derision	derisione
derisive	derisorio
derisively	derisorio
derogatory	dispregiativo
desecrate	profanare
desert	deserto
desertion	diserzione
desiccate	essiccare
desiccated	essiccato
desolate	desolato
desolately	desolatamente
desolation	desolazione
despair	disperazione
despairing	disperato
desperate	disperato
desperately	disperatamente
desperation	disperazione
despicable	spregevole
despise	disprezzare
despised	disprezzato
despoil	depredare
despondence	sconforto
despondency	abbattimento
despondent	scoraggiato
despot	despota
despotic	dispotico
despotism	dispotismo
destabilisation	destabilizzazione
destitute	indigente
destitution	miseria
destroy	distruggere
destroyer	distruttore
destruction	distruzione
destructive	distruttivo
desultory	sconnesso
deter	scoraggiare
deteriorate	deteriorare
deteriorating	deterioramento
deterioration	deterioramento
deterrent	deterrente
detest	detestare
detestable	detestabile
detestably	detestabilmente
detested	detestato
detesting	detestando
detests	detesta
detract	detrarre
detracted	detratto
detraction	detrazione
detracts	detrae
detriment	detrimento
detrimental	dannoso
devastate	devastare
devastated	devastato
devastates	devasta
devastating	devastante
devastation	devastazione
deviate	deviare
deviation	deviazione
devil	diavolo
devilish	diabolico
devilishly	diabolicamente
devilment	diavoleria
devilry	diavoleria
devious	indiretto
devoid	privo
diabolic	diabolico
diabolical	diabolico
diabolically	diabolicamente
diametrically	diametralmente
diatribe	diatriba
diatribes	diatribe
dick	cazzo
dictator	dittatore
dictatorial	dittatoriale
die	morire
died	morto
dies	muore
difficult	difficile
difficulty	difficoltà
diffidence	timidezza
dilapidated	cadente
dilly-dally	temporeggiare
dim	offuscare
dimmer	oscuratore
din	frastuono
dings	ammaccature
dinky	grazioso
dire	terribile
dirt	sporco
dirty	sporco
disable	disattivare
disabled	Disabilitato
disaccord	disaccordo
disadvantage	svantaggio
disadvantaged	svantaggiati
disadvantageous	svantaggioso
disadvantages	svantaggi
disaffect	disamorare
disaffected	ostile
disagree	disaccordo
disagreeable	sgradevole
disagreeably	sgradevolmente
disagreed	dissentito
disagreeing	disaccordo
disagreement	disaccordo
disallow	rifiutare
disapointed	delusi
disapointing	deludente
disapointment	delusione
disappoint	deludere
disappointed	deluso
disappointing	deludente
disappointingly	deludentemente
disappointment	delusione
disappointments	delusioni
disappoints	delude
disapprobation	disapprovazione
disapproval	disapprovazione
disapprove	disapprovare
disapproving	disapprovazione
disarm	disarmare
disarray	scompiglio
disaster	disastro
disastrous	disastroso
disastrously	disastrosamente
disavow	sconfessare
disavowal	disconoscimento
disbelief	incredulità
disbeliever	miscredente
disclaim	disconoscere
discomfit	sconcertare
discomfort	sconforto
discompose	scomporre
disconcert	sconcertare
disconcerted	sconcertato
disconcerting	sconcertante
disconcertingly	sconcertante
disconsolate	sconsolato
disconsolately	sconsolato
discontent	malcontento
discontented	scontento
discontinued	interrotto
discontinuity	discontinuità
discontinuous	discontinuo
discord	discordia
discordance	discordanza
discordant	discordante
discountenance	sconcertare
discourage	scoraggiare
discouragement	scoraggiamento
discouraging	sconfortante
discouragingly	scoraggiante
discourteous	scortese
discourteously	scortesemente
discredit	discredito
discrepant	discrepante
discriminate	discriminare
discrimination	discriminazione
discriminatory	discriminatorio
disdain	disprezzo
disdained	disdegnato
disdainful	sdegnoso
disdainfully	sdegnosamente
disfavor	disgrazia
disgrace	disonore
disgraceful	vergognoso
disgracefully	vergognosamente
disgruntle	scontentare
disgruntled	scontento
disgust	disgusto
disgusted	disgustato
disgustedly	disgustato
disgustful	disgustoso
disgusting	disgustoso
disgustingly	disgustosamente
dishearten	avvilire
disheartening	scoraggiante
dishonest	disonesto
dishonestly	disonestamente
dishonesty	disonestà
dishonor	disonore
dishonorable	disonorevole
disillusion	disillusione
disillusioned	disilluso
disillusionment	disinganno
disillusions	disillusioni
disinclination	avversione
disingenuous	falso
disingenuously	malafede
disintegrate	disintegrare
disintegrated	disintegrato
disintegrates	disintegra
disintegration	disintegrazione
disinterest	disinteressare
disinterested	disinteressato
dislike	antipatia
disliked	malvisto
disliking	antipatia
dislocated	slogato
disloyal	sleale
disloyalty	slealtà
dismal	triste
dismay	sgomento
dismayed	costernato
dismaying	sconcertante
dismissive	sprezzante
dismissively	sprezzante
disobedience	disobbedienza
disobedient	disobbediente
disobey	disobbedire
disorder	disturbo
disordered	disordinato
disorderly	disordinato
disorganized	disorganizzato
disorient	disorientare
disoriented	disorientato
disown	rinnegare
disparage	screditare
disparaging	dispregiativo
disparagingly	dispregiativo
dispensable	dispensabile
dispirit	scoraggiare
dispirited	scoraggiato
dispiriting	scoraggiante
displace	spostare
displaced	sfollati
displease	dispiacere
displeased	scontento
displeasing	spiacevole
displeasure	dispiacere
disproportionate	sproporzionato
disprove	confutare
disputable	discutibile
dispute	controversia
disputed	contestato
disquiet	inquietudine
disquieting	inquietante
disquietingly	inquietante
disquietude	inquietudine
disregard	indifferenza
disreputable	sconveniente
disrepute	discredito
disrespectful	irrispettoso
disrupt	disgregare
disruption	rottura
disruptive	dirompente
dissapointed	delusi
dissappointed	delusi
dissappointing	delusione
dissatisfaction	insoddisfazione
dissatisfied	insoddisfatto
dissatisfies	ordissatisfies
dissatisfy	scontentare
dissemble	dissimulare
dissension	dissenso
dissent	dissenso
dissenter	dissidente
dissention	dissenso
disservice	disservizio
dissidence	dissidenza
dissident	dissidente
dissidents	dissidenti
dissocial	dissociale
dissolute	dissoluto
dissolution	dissoluzione
dissonance	dissonanza
dissonant	dissonante
dissuade	dissuadere
distaste	disgusto
distasteful	sgradevole
distort	falsare
distorted	distorto
distortion	distorsione
distorts	distorce
distract	distrarre
distracting	distrazione
distraction	distrazione
distraught	sconvolto
distress	angoscia
distressed	afflitto
distressing	doloroso
distrust	diffidenza
distrustful	diffidente
distrusting	diffidente
disturb	disturbare
disturbance	disturbo
disturbed	disturbato
disturbing	inquietante
disturbingly	inquietantemente
disunity	disunità
disvalue	disvalore
divergent	divergente
divisiveness	divisione
dizzy	vertiginoso
dogged	accanito
doggedly	tenacemente
dogmatic	dogmatico
doldrums	depressione
domineer	spadroneggiare
domineering	dispotico
donside	Donside
doom	destino
doomed	condannato
dope	droga
doubt	dubbio
doubtful	dubbioso
doubts	dubbi
douchebag	cretino
downcast	abbattuto
downer	Downer
downfall	Caduta
downgrade	retrocedere
downhearted	abbattuto
downhill	discesa
downside	svantaggio
downturn	recessione
downturns	flessioni
drab	grigiastro
draconian	draconiana
drag	trascinare
dragged	trascinato
dragging	trascinamento
dragoon	dragone
drags	trascina
drain	drenare
drained	drenato
draining	drenante
drastic	drastico
drastically	drasticamente
drawback	inconveniente
drawbacks	inconvenienti
dread	terrore
dreadful	terribile
dreadfully	terribilmente
dreadfulness	terribilità
dreary	triste
dripped	gocciolava
dripping	gocciolante
drips	gocciola
drones	droni
droop	abbassamento
drop-outs	cadere-out
dropouts	forcellini
drought	siccità
drowning	annegamento
drunk	ubriaco
drunkard	ubriacone
drunken	ubriaco
dubious	dubbioso
dubiously	dubbiosamente
dud	bidone
dull	noioso
dullard	tonto
dumb	muto
dumbfound	stupire
dumped	scaricati
dumps	discariche
dunce	somaro
dungeon	prigione
dungeons	dungeon
dupe	ingannare
dust	polvere
dusty	polveroso
dwindling	diminuzione
earsplitting	assordante
eccentric	eccentrico
eccentricity	eccentricità
effigy	effigie
effrontery	sfrontatezza
egocentric	egocentrico
egotism	egotismo
egotistical	egoista
egotistically	egoisticamente
egregious	egregio
egregiously	egregiamente
election-rigger	elezione-rigger
elimination	eliminazione
emaciated	emaciato
emasculate	evirare
embarrass	imbarazzare
embarrassing	imbarazzante
embarrassingly	imbarazzante
embarrassment	imbarazzo
embattled	merlato
embroil	coinvolgere
embroiled	coinvolto
emergency	emergenza
emphatic	enfatico
emphatically	enfaticamente
emptiness	vuoto
encroach	usurpare
encroachment	invasione
enemies	nemici
enemy	nemico
enervate	snervare
enfeeble	indebolire
enflame	infiammare
engulf	fagocitare
enjoin	ingiungere
enmity	inimicizia
enrage	imbestialire
enraged	inferocito
enraging	Infuriante
enslave	asservire
entangle	impigliare
entanglement	aggrovigliamento
entrap	intrappolare
entrapment	intrappolamento
envious	invidioso
enviously	invidia
enviousness	invidia
epidemic	epidemico
equivocal	equivoco
erase	cancellare
erode	erodere
erodes	erode
erosion	erosione
err	sbagliare
errant	errante
erratic	irregolare
erroneous	erroneo
erroneously	erroneamente
error	errore
errors	errori
eruptions	eruzioni
escapade	scappatella
estranged	estraniato
evade	eludere
evasion	evasione
evasive	evasivo
evildoer	malfattore
evils	mali
eviscerate	sventrare
exacerbate	esacerbare
exagerated	esagerato
exagerates	esagera
exaggerate	esagerare
exaggeration	esagerazione
exasperate	esasperare
exasperated	esasperato
exasperating	esasperante
exasperatingly	esasperatamente
exasperation	esasperazione
excessive	eccessivo
excessively	eccessivamente
exclusion	esclusione
excoriate	scorticare
excruciating	straziante
excruciatingly	atrocemente
