abound	abonder
abominably	abominablement
abominate	abominer
abort	avorter
aborted	avorté
aborts	abandonne
abrade	éroder
abrasive	abrasif
abrupt	brusque
abruptly	brusquement
absent-minded	distrait
absentee	absent
absurd	absurde
absurdity	absurdité
absurdly	absurdement
absurdness	absurdité
abused	abusé
abusive	injurieux
abysmal	épouvantable
abysmally	abysmalement
abyss	abîme
accidental	accidentel
accost	accoster
accursed	maudit
accuse	accuser
accuses	accuse
accusing	accuser
accusingly	accusativement
acerbate	acerbe
acerbic	acerbe
acerbically	acerbiquement
ache	mal
ached	douloureux
aches	douleurs
aching	douloureux
acrid	âcre
acrimonious	acrimonieux
acrimoniously	acrimonieusement
acrimony	acrimonie
adamant	catégorique
adamantly	catégoriquement
addict	toxicomane
addicted	intoxiqué
addicting	addictif
addicts	toxicomanes
admonish	avertir
admonisher	avertisseur
admonishingly	admonestement
admonishment	admonestation
adulterate	falsifier
adulterated	frelaté
adulteration	falsification
adulterier	adultère
adversarial	contradictoire
adversary	adversaire
adverse	négatif
adversity	adversité
afflict	affliger
afraid	peur
aggravate	aggraver
aggravating	aggravant
aggression	agression
aggressive	agressif
aggressiveness	agressivité
aggressor	agresseur
aggrieve	affliger
aggrieved	lésé
aghast	atterré
agonize	tourmenter
agonizing	angoissant
agonizingly	agonisant
agony	agonie
aground	échoué
ail	tous
ailing	malade
ailment	maladie
alarm	alarme
alarmed	alarmé
alarming	alarmant
alarmingly	alarmant
alienate	aliéner
alienated	aliéné
alienation	aliénation
allegation	allégation
allegations	allégations
allege	alléguer
allergic	allergique
allergy	allergie
aloof	distant
ambiguity	ambiguïté
ambiguous	ambigu
ambush	embuscade
amputate	amputer
anarchism	anarchisme
anarchist	anarchiste
anarchistic	anarchiste
anarchy	anarchie
anemic	anémique
anger	colère
angriness	colère
anguish	angoisse
animosity	animosité
annihilate	annihiler
annoy	ennuyer
annoyance	contrariété
annoyances	ennuis
annoyed	agacé
annoying	ennuyeux
annoyingly	agaçant
annoys	agace
anomalous	anormal
anomaly	anomalie
antagonism	antagonisme
antagonist	antagoniste
antagonistic	antagoniste
antagonize	contrarier
anti-american	anti-américain
anti-israeli	anti-israélien
anti-proliferation	anti-prolifération
anti-semites	antisémites
anti-social	antisocial
anti-us	anti-nous
anti-white	anti-blanc
antipathy	antipathie
antiquated	vieilli
antithetical	antithétique
anxieties	angoisses
anxiety	anxiété
anxious	anxieux
anxiously	anxieusement
anxiousness	anxiété
apathetic	apathique
apathetically	apathique
apathy	apathie
apocalyptic	apocalyptique
apologist	apologiste
apologists	apologistes
appal	épouvanter
appall	épouvanter
appalled	consterné
appalling	épouvantable
appallingly	épouvantablement
apprehension	appréhension
apprehensions	appréhensions
apprehensive	inquiet
apprehensively	appréhensivement
arbitrary	arbitraire
arcane	ésotérique
archaic	archaïque
arduous	difficile
arduously	laborieusement
argumentative	argumentatif
ashamed	honteux
asinine	idiot
asininely	Asinely
asinininity	asinininité
askance	désinvolture
asperse	asperser
assail	assaillir
assassinate	assassiner
assault	agression
assult	assaillir
astray	égaré
atrocious	atroce
atrocities	atrocités
atrocity	atrocité
atrophy	atrophie
attack	attaque
attacks	attaques
audacious	audacieux
audaciously	audacieusement
audaciousness	audace
audacity	audace
audiciously	audicieusement
austere	austère
authoritarian	autoritaire
autocrat	autocrate
autocratic	autocratique
avaricious	avare
avariciously	avaricieusement
avenge	venger
aweful	épouvantable
awful	terrible
awfully	terriblement
awfulness	horreur
awkward	gênant
awkwardness	maladresse
ax	hache
babble	babiller
back-logged	rétro-connecté
backbite	médire
backbiting	médisance
backwardness	arriération
bad	mal
badly	mal
baffled	déconcerté
baffling	déconcertant
bait	appât
balk	rechigner
banalize	banaliser
bane	fléau
banish	bannir
banishment	bannissement
bankrupt	faillite
barbarian	barbare
barbaric	barbare
barbarically	barbare
barbarity	barbarie
barbarous	barbare
barbarously	barbare
barren	stérile
bash	frapper
bashed	défoncé
bashful	timide
bashing	dénigrer
bastard	Connard
bastards	bâtards
battered	battu
battering	coups
bearish	baissier
beastly	bestial
bedlam	chahut
bedlamite	fou
befoul	souiller
beg	mendier
beggar	mendiant
beggarly	misérable
begging	mendicité
beguile	séduire
belabor	invectiver
belated	tardif
beleaguer	assiégeant
belie	démentir
belittle	rabaisser
belittled	rabaissé
belittling	dénigrer
bellicose	belliqueux
belligerence	belligérance
belligerent	belligérant
belligerently	belligérante
bemoan	déplorer
bemoaning	déplorer
bemused	abasourdi
bent	courbé
berate	admonester
bereave	priver
bereavement	deuil
bereft	privé
beseech	supplier
beset	assaillir
besiege	assiéger
besmirch	ternir
betray	trahir
betrayal	trahison
betrayals	trahisons
betrayer	traître
betraying	traître
betrays	trahit
bewilder	déconcerter
bewildered	égaré
bewildering	déroutant
bewilderingly	déroutant
bewilderment	perplexité
bewitch	ensorceler
bias	biais
biased	biaisé
biases	biais
bickering	chamaillerie
bigotries	bigoterie
bigotry	bigoterie
bitch	chienne
bitchy	vache
biting	mordant
bitingly	mordant
bitter	amer
bitterly	amèrement
bitterness	amertume
blab	jaser
blackmail	chantage
blah	blabla
blameworthy	blâmable
bland	fade
blandish	flatter
blaspheme	blasphémer
blasphemous	blasphématoire
blasphemy	blasphème
blasted	foudroyé
blatant	flagrant
blatantly	ouvertement
blather	bêtises
bleak	morne
bleakly	morne
bleakness	tristesse
bleed	saigner
bleeding	saignement
bleeds	saigne
blemish	défaut
blind	aveugle
blinding	aveuglant
blindingly	aveuglant
blindside	aveugle
blister	cloque
blistering	cloques
bloated	gonflé
blockage	obstruction
blockhead	imbécile
bloodthirsty	sanguinaire
bloody	sanglant
blotchy	taché
blow	coup
blunder	gaffe
blundering	maladroit
blunders	gaffes
blunt	émousser
blur	brouiller
blurred	flou
blurring	flou
blurry	flou
blurs	brouille
blurt	lâcher
boastful	vantard
bogus	faux
boil	ébullition
boiling	ébullition
boisterous	bruyant
bomb	bombe
bombard	bombarder
bombardment	bombardement
bombastic	grandiloquent
bondage	esclavage
bore	ennuyer
bored	ennuyé
boredom	ennui
bores	alésages
boring	ennuyeuse
botch	bousiller
bother	déranger
bothered	dérangé
bothering	déranger
bothers	tracassiers
bothersome	ennuyeux
bowdlerize	expurger
boycott	boycotter
braggart	fanfaron
brash	impétueux
brashly	effrontément
brashness	impétuosité
brat	gosse
bravado	bravade
brazen	effronté
brazenly	effrontément
breach	violation
break	Pause
break-up	rompre
break-ups	ruptures
breakdown	panne
breaking	rupture
breaks	pauses
breakup	rompre
breakups	ruptures
bribery	corruption
brimstone	soufre
bristle	poil
brittle	fragile
broke	cassé
broken	cassé
brood	nichée
browbeat	intimider
bruise	bleu
bruised	meurtri
bruises	ecchymoses
bruising	ecchymoses
brutalising	brutaliser
brutalities	brutalités
brutality	brutalité
brutalize	brutaliser
brutalizing	brutaliser
brutally	brutalement
brutish	brutal
buckle	Boucle
bug	punaise
bugging	écoutes
bugs	bogues
bulkiness	encombrement
bulky	volumineux
bulkyness	encombrement
bull****	taureau****
bull----	taureau----
bullies	intimidateurs
bullshit	connerie
bully	brute
bullying	harcèlement
bullyingly	intimidant
bum	clochard
bump	bosse
bumped	heurté
bumpping	bumper
bumps	bosses
bumpy	cahoteux
bungler	bousilleur
bungling	maladresse
bunk	couchette
burden	charge
burdensome	pénible
burdensomely	lourdement
burn	brûler
burned	brûlé
burning	brûlant
burns	brûle
bust	buste
busts	bustes
butcher	Boucher
butchery	boucherie
buzzing	bourdonnant
byzantine	byzantin
cackle	caqueter
calamities	calamités
calamitous	calamiteux
calamitously	calamiteusement
calamity	calamité
callous	insensible
calumniate	calomnier
calumniation	calomnie
calumnies	calomnies
calumnious	calomnieux
calumniously	calomnieusement
calumny	calomnie
cancerous	cancéreux
cannibal	cannibale
cannibalize	cannibaliser
capitulate	capituler
capricious	capricieux
capriciously	capricieusement
capriciousness	caprice
capsize	chavirer
careless	négligent
carelessness	négligence
carp	carpe
cartoonish	cartoon
castigate	fustiger
castrated	castré
casualty	victime
cataclysm	cataclysme
cataclysmal	cataclysmique
cataclysmic	cataclysmique
cataclysmically	cataclysmiquement
catastrophic	catastrophique
catastrophically	catastrophiquement
catastrophies	catastrophes
caustic	caustique
caustically	caustique
censure	censurer
chafe	irriter
chaff	balle
chagrin	dépit
challenging	difficile
chaotic	chaotique
chasten	châtier
chastise	punir
chastisement	châtiment
chatter	bavarder
chatterbox	bavard
cheat	Tricher
cheated	triché
cheater	tricheur
cheerless	triste
cheesy	ringard
chide	gronder
childish	puéril
chill	refroidissement
chilly	froid
choke	étranglement
choleric	colérique
choppy	saccadé
chore	corvée
chronic	chronique
chunky	trapu
clamor	clameur
clamorous	bruyant
clash	choc
cliche	cliché
cliched	cliché
clog	sabot
clogged	bouché
clogs	sabots
cloud	nuage
clouding	obscurcissant
cloudy	nuageux
clumsy	maladroit
coarse	grossier
cocky	arrogant
coerce	contraindre
coercion	coercition
coercive	coercitif
coldly	froidement
collapse	effondrer
collude	comploter
collusion	connivence
combative	combatif
combust	brûler
comical	comique
commiserate	commettre
commonplace	banal
commotion	agitation
complacent	complaisant
complaint	plainte
complaints	plaintes
complex	complexe
complicated	compliqué
complicit	complice
compulsive	compulsif
concede	concéder
conceded	concédé
conceit	vanité
conceited	vaniteux
concens	concen
concern	préoccupation
concerned	concerné
concerns	préoccupations
concession	Concession
condemn	condamner
condemnable	condamnable
condemnation	condamnation
condemned	condamné
condemns	condamne
condescend	condescendre
condescending	condescendant
condescension	condescendance
confess	avouer
confessions	aveux
confined	confiné
conflict	conflit
conflicting	contradictoire
conflicts	conflits
confound	confondre
confounded	confondu
confounding	confondant
confront	affronter
confrontation	affrontement
confrontational	conflictuel
confuse	embrouiller
confused	confus
confuses	confond
confusing	déroutant
congested	congestionné
conservative	conservateur
conspicuous	visible
conspicuously	ostensiblement
conspiracies	conspirations
conspiracy	conspiration
conspirator	conspirateur
conspiratorial	conspirateur
conspire	conspirer
contagious	contagieux
contaminate	contaminer
contaminated	contaminés
contaminates	contamine
contaminating	contaminer
contempt	mépris
contemptible	méprisable
contemptuous	méprisant
contend	combattre
contentious	contentieux
contort	tordre
contortions	contorsions
contradict	contredire
contradictory	contradictoire
contrariness	contradiction
contravene	contrevenir
contrive	contrarier
contrived	artificiel
controversial	controversé
controversy	controverse
convoluted	convoluté
corrode	corroder
corrosive	corrosif
corrupt	corrompu
corrupted	corrompu
corrupting	corrompant
corrupts	corrompt
corruptted	corrompu
costly	cher
counter-productive	contreproductif
counterproductive	contreproductif
covetous	avide
coward	lâche
cowardly	lâche
crack	fissure
cracked	fissuré
cracks	fissures
craftily	astucieusement
craftly	artisanalement
crafty	rusé
cramp	crampe
cramping	crampes
cranky	excentrique
crap	merde
crappy	merdique
crashed	écrasé
crashing	s'écraser
crass	grossier
craven	lâche
cravenly	craignant
craze	engouement
crazily	follement
craziness	folie
crazy	fou
creak	craquer
creaking	grincement
creaks	craquements
credulous	crédule
creeping	rampant
creepy	terrifiant
crept	rampant
criminal	criminel
cringe	reculer
cringed	recroquevillé
cringes	grincements
cripple	paralyser
crippled	estropié
cripples	estropiés
crippling	paralysant
crisis	crise
critic	critique
critical	critique
criticism	critique
criticize	critiquer
criticized	critiqué
criticizing	critiquer
critics	critiques
cronyism	copinage
crook	escroc
crooked	courbé
crooks	escrocs
crowded	bondé
crowdedness	entassement
crude	brut
cruelly	cruellement
cruelness	cruauté
cruelties	cruautés
cruelty	cruauté
crumble	émietter
crumbling	effritement
crumple	froisser
crumpled	froissé
crumples	froisser
crush	écraser
crushed	écrasé
crushing	écrasement
cry	cri
culpable	coupable
culprit	coupable
cumbersome	lourd
cunt	chatte
cunts	chattes
curse	malédiction
cursed	maudit
curses	malédictions
curt	sec
cuss	jurer
cussed	juré
cynical	cynique
cynicism	cynisme
damage	dommage
damaged	endommagé
damages	dégâts
damaging	dommageable
damn	Zut
damnably	rudement
damned	damné
damning	accablant
damper	amortisseur
dangerous	dangereux
dangerousness	dangerosité
dark	foncé
darken	assombrir
darkened	sombre
darkness	obscurité
dastard	lâche
dastardly	lâche
daunt	décourager
daunting	intimidant
dauntingly	intimidant
dawdle	lambiner
daze	hébéter
dazed	étourdi
dead	mort
deadlock	impasse
deadly	mortel
deaf	sourd
dearth	disette
death	décès
debacle	débâcle
debase	avilir
debasement	avilissement
debatable	discutable
debauch	débaucher
debaucher	débaucher
debauchery	débauche
debilitate	débiliter
debilitating	débilitant
debility	débilité
debt	dette
debts	dettes
decadence	décadence
decadent	décadent
decay	pourriture
decayed	pourri
deceit	tromperie
deceitful	trompeur
deceitfully	trompeusement
deceitfulness	fausseté
deceive	tromper
deceiver	trompeur
deceivers	trompeurs
deceiving	tromper
deception	tromperie
deceptive	trompeur
deceptively	trompeusement
declaim	déclamer
decline	déclin
declines	décline
declining	déclinant
decrement	décrémenter
decrepit	délabré
decrepitude	décrépitude
decry	décrier
defamation	diffamation
defamations	diffamations
defamatory	diffamatoire
defame	diffamer
defect	défaut
defective	défectueux
defects	défauts
defensive	défensive
defiance	défi
deficiencies	déficiences
deficiency	carence
deficient	déficient
defile	défilé
defiler	défiler
deform	déformer
deformed	déformé
defrauding	frauder
defunct	défunt
defy	defier
degenerate	dégénérer
degenerately	dégénéré
degeneration	dégénérescence
degradation	dégradation
degrade	dégrader
degrading	dégradant
degradingly	dégradant
dehumanization	déshumanisation
dehumanize	déshumaniser
deign	daigner
dejected	abattu
dejectedly	découragé
dejection	abattement
delay	retard
delayed	différé
delaying	dilatoire
delays	retards
delinquency	délinquance
delinquent	délinquant
delirious	délirant
delirium	délire
delude	tromper
deluded	trompé
deluge	inonder
delusion	illusion
delusional	délirant
delusions	délires
demean	dévier
demeaning	avilissant
demise	disparition
demolish	démolir
demolisher	démolisseur
demon	démon
demonic	démoniaque
demonize	diaboliser
demonized	diabolisé
demonizes	diabolise
demonizing	diabolisant
demoralize	démoraliser
demoralizing	démoralisant
demoralizingly	démoralisant
denied	refusé
denies	nie
denigrate	dénigrer
denounce	dénoncer
dent	bosse
dented	bosselé
denunciate	dénoncer
denunciation	dénonciation
denunciations	dénonciations
deny	Nier
denying	nier
deplete	épuiser
deplorable	déplorable
deplorably	déplorablement
deplore	déplorer
deploring	déplorer
deploringly	déplorant
deprave	corrompre
depraved	dépravé
depravedly	dépravé
deprecate	désapprouver
depress	déprimer
depressed	déprimé
depressing	déprimant
depressingly	déprimant
depression	dépression
depressions	dépressions
deprive	priver
deprived	privé
deride	railler
derision	dérision
derisive	dérisoire
derisively	dérisoire
derisiveness	dérision
derogatory	dérogatoire
desecrate	profaner
desert	désert
desertion	désertion
desiccate	dessécher
desiccated	desséchée
desititute	désitérer
desolate	désolé
desolately	désolé
desolation	désolation
despair	désespoir
despairing	désespéré
despairingly	désespérément
desperate	désespéré
desperately	désespérément
desperation	désespoir
despicable	méprisable
despicably	méprisable
despise	mépriser
despised	méprisé
despoil	spolier
despoiler	spoliateur
despondence	découragement
despondency	abattement
despondent	découragé
despondently	découragé
despot	despote
despotic	despotique
despotism	despotisme
destabilisation	déstabilisation
destitute	dépourvu
destitution	misère
destroy	détruire
destroyer	destructeur
destructive	destructeur
desultory	décousu
deter	dissuader
deteriorate	détériorer
deterioration	détérioration
deterrent	dissuasif
detest	détester
detestable	détestable
detestably	détestablement
detested	détesté
detesting	détestant
detests	déteste
detract	diminuer
detracted	détruit
detracting	nuire
detraction	détraction
detracts	détruit
detriment	détriment
detrimental	préjudiciable
devastate	dévaster
devastated	dévasté
devastates	ravage
devastating	dévastateur
devastatingly	dévastateur
devastation	dévastation
deviate	dévier
deviation	déviation
devil	diable
devilish	diabolique
devilishly	diaboliquement
devilment	diablerie
devilry	diable
devious	sournois
deviously	sournoisement
deviousness	détournement
devoid	dépourvu
diabolic	diabolique
diabolical	diabolique
diabolically	diaboliquement
diametrically	diamétralement
diappointed	diappoint
dick	queue
dictator	dictateur
die	mourir
die-hard	mordant
died	décédés
dies	meurt
difficult	difficile
difficulty	difficulté
diffidence	hésitation
dilapidated	délabré
dilemma	dilemme
dim	faible
dimmer	variateur
din	vacarme
dinky	mignon
dire	terrible
direly	mordant
dirt	saleté
dirty	sale
disable	désactiver
disabled	désactivée
disaccord	désaccord
disadvantage	désavantage
disadvantaged	défavorisé
disadvantageous	désavantageux
disadvantages	désavantages
disaffect	mécontenter
disaffected	mécontent
disaffirm	désaffirmer
disagreeable	désagréable
disagreeably	désagréablement
disagreement	désaccord
disagrees	désapprouve
disallow	refuser
disapointed	déçu
disapointing	décevant
disapointment	déception
disappoint	décevoir
disappointed	désappointé
disappointing	décevant
disappointingly	décevant
disappointment	déception
disappointments	déceptions
disappoints	déçoit
disapprobation	désapprobation
disapproval	désapprobation
disapprove	désapprouver
disapproving	désapprobateur
disarm	désarmer
disarray	désarroi
disaster	catastrophe
disasterous	désastreux
disastrous	catastrophique
disastrously	désastreusement
disavow	désavouer
disavowal	désaveu
disbelief	incrédulité
disbeliever	incrédule
disclaim	désavouer
discombobulate	discombobuler
discomfit	déconcerter
discomfititure	déconfiture
discomfort	malaise
discompose	déranger
disconcert	déconcerter
disconcerted	déconcerté
disconcerting	déroutant
disconcertingly	déconcertant
disconsolate	inconsolable
disconsolation	déconsolation
discontent	mécontentement
discontented	mécontent
discontentedly	mécontentement
discontinued	abandonné
discontinuity	discontinuité
discontinuous	discontinu
discord	discorde
discordance	désaccord
discountenance	opposer
discourage	décourager
discouragement	découragement
discouraging	décourageant
discouragingly	décourageant
discourteous	discourtois
discourteously	discoureusement
discoutinous	discutable
discredit	discrédit
discrepant	discordant
discriminate	discriminer
discriminatory	discriminatoire
disdain	mépris
disdained	dédaigné
disdainful	dédaigneux
disdainfully	dédaigneusement
disfavor	désavouer
disgrace	disgrâce
disgraced	disgracié
disgraceful	honteux
disgracefully	honteusement
disgruntle	contrarier
disgruntled	mécontent
disgust	dégoûter
disgusted	dégoûté
disgustedly	dégoûté
disgustful	dégoûtant
disgustfully	dégoûté
disgusting	répugnant
disgustingly	dégoûtant
dishearten	décourager
disheartening	décourageant
dishearteningly	décourageant
dishonest	malhonnête
dishonestly	malhonnêtement
dishonesty	malhonnêteté
dishonor	déshonorer
dishonorable	déshonorant
dishonorablely	déshonneur
disillusion	désillusion
disillusioned	désabusé
disillusionment	désillusion
disillusions	désillusions
disinclination	désinvolture
disingenuous	fourbe
disingenuously	hypocritement
disintegrate	désintégrer
disintegrated	désintégré
disintegration	désintégration
disinterest	désintéressement
disinterested	désintéressé
dislocated	disloquée
disloyal	déloyal
disloyalty	déloyauté
dismal	lugubre
dismally	lamentablement
dismalness	lamentation
dismay	consternation
dismayed	consterné
dismaying	consternant
dismayingly	effroyablement
dismissive	dédaigneux
dismissively	dédaigneusement
disobedience	désobéissance
disobedient	désobéissant
disobey	désobéir
disoobedient	désoobéissant
disorder	désordre
disordered	désordonné
disorderly	désordonné
disorganized	désorganisé
disorient	désorienter
disoriented	désorienté
disown	renier
disparage	dénigrer
disparaging	désobligeant
disparagingly	méprisante
dispirit	décourager
dispirited	découragé
dispiritedly	découragé
dispiriting	décourageant
displace	déplacer
displaced	déplacé
displease	mécontenter
displeased	mécontent
displeasing	déplaisant
displeasure	mécontentement
disproportionate	disproportionné
disprove	réfuter
disputable	contestable
dispute	contestation
disputed	contesté
disquiet	inquiétude
disquieting	inquiétant
disquietingly	inquiétant
disquietude	inquiétude
disregard	mépris
disregardful	indifférent
disrepute	déconsidération
disrespectable	irrespectable
disrespectful	irrespectueux
disrespectfully	irrespectueusement
disrupt	perturber
disruption	perturbation
disruptive	perturbateur
dissapointed	déçu
dissappointed	déçu
dissappointing	décevant
dissatisfaction	insatisfaction
dissatisfactory	insatisfaisant
dissatisfied	mécontent
dissatisfies	mécontents
dissatisfy	mécontenter
dissatisfying	insatisfaisant
dissemble	dissimuler
dissembler	dissimulateur
dissent	contestation
dissenter	dissident
dissolute	dissolu
dissonantly	dissonant
dissuade	dissuader
dissuasive	dissuasif
distaste	dégoût
distasteful	désagréable
distastefully	désagréablement
distort	fausser
distorted	déformé
distortion	Distorsion
distorts	déforme
distract	distraire
distracting	distraire
distraught	éperdu
distraughtly	désespérément
distraughtness	détresse
distress	détresse
distressed	affligé
distressing	pénible
distressingly	douloureusement
distrust	méfiance
distrustful	méfiant
distrusting	méfiant
disturb	déranger
disturbance	perturbation
disturbed	perturbé
disturbing	inquiétant
disturbingly	dérangeant
disunity	désunion
divisive	diviser
divisively	divisivement
divisiveness	division
dizzing	vertigineux
dizzingly	vertigineusement
dizzy	étourdi
doddering	dodder
dodgey	Dodgey
dogged	obstiné
doggedly	obstinément
dogmatic	dogmatique
domineering	dominateur
donside	Dégide
doom	condamner
doomed	condamné
doubt	doute
doubtful	douteux
doubtfully	douteusement
downcast	abattu
downfall	chute
downfallen	tombé
downgrade	rétrograder
downhearted	découragé
downheartedly	sincèrement
downside	inconvénient
downturn	ralentissement
downturns	ralentissements
drab	terne
draconian	draconien
draconic	draconique
drag	traîne
dragged	traîné
dragging	glisser
dragoon	dragon
drain	drainer
drained	drainé
draining	évacuation
drastic	radical
drastically	drastiquement
drawback	inconvénient
drawbacks	désavantages
dread	crainte
dreadful	horrible
dreadfully	terriblement
dreadfulness	horreur
dreary	morne
dripped	égoutté
dripping	égouttage
drips	gouttes
droop	affaissement
droops	affaissements
drop-out	abandonner
drop-outs	abandons
dropout	abandonner
dropouts	décrocheurs
drought	sécheresse
drowning	noyade
drunk	ivre
drunkard	ivrogne
drunken	ivre
dubious	douteux
dubiously	douteusement
dud	raté
dull	terne
dullard	lourdaud
dumb	stupide
dumbfound	abasourdir
dump	déverser
dumped	déversé
dumps	décharges
dunce	cancre
dungeon	cachot
dungeons	donjons
dust	poussière
dusty	poussiéreux
dwindling	diminuer
earsplitting	époustouflant
eccentric	excentrique
eccentricity	excentricité
effigy	effigie
effrontery	effronterie
egocentric	égocentrique
egomania	manie
egotism	égotisme
egotistical	égoïste
egotistically	égoïstement
egregious	énorme
egregiously	énormément
election-rigger	élection-gréeur
elimination	élimination
emaciated	émacié
emasculate	émasculer
embarrass	embarrasser
embarrassing	gênant
embarrassingly	embarrassant
embarrassment	embarras
embattled	assiégé
embroiled	impliqué
embroilment	implication
emergency	urgence
emphatic	catégorique
emphatically	énergiquement
emptiness	vide
encroach	empiéter
encroachment	empiètement
enemies	ennemis
enemy	ennemi
enervate	amollir
enfeeble	faible
engulf	engloutir
enjoin	enjoindre
enmity	hostilité
enraged	furieux
enraging	enrageant
enslave	asservir
entangle	emmêler
entanglement	enchevêtrement
entrapment	piégeage
envious	envieux
enviousness	envie
epidemic	épidémie
equivocal	équivoque
erase	effacer
erode	éroder
erodes	érode
erosion	érosion
erratic	erratique
erratically	erratique
erroneous	erroné
error	Erreur
eruptions	éruptions
eschew	éviter
estranged	séparé
evade	éluder
evasion	évasion
evasive	évasif
evil	mal
evildoer	scélérat
evils	maux
eviscerate	éviscérer
exacerbate	exacerber
exagerate	exagérer
exagerated	exagéré
exagerates	exagère
exaggerate	exagérer
exaggeration	exagération
exasperate	exaspérer
exasperated	exaspéré
exasperating	exaspérant
exasperatingly	exaspérément
exasperation	exaspération
excessive	excessif
excessively	excessivement
excoriate	excorier
excruciating	atroce
excruciatingly	atrocement
execrate	exécrer
exhaust	échappement
exhausted	épuisé
exhaustion	épuisement
exhausts	échappements
exhort	exhorter
exile	exilé
exorbitantance	exorbitance
exorbitantly	exorbitant
expel	expulser
expensive	coûteux
expire	expirer
expired	expiré
explode	exploser
explosive	explosif
expropriate	exproprier
expunge	effacer
exterminate	exterminer
extinguish	éteindre
extort	extorquer
extortion	extorsion
extraneous	étranger
extravagantly	extravagante
extremism	extrémisme
extremist	extrémiste
extremists	extrémistes
eyesore	horreur
fabricate	fabriquer
facetious	facétieux
facetiously	facétieusement
fail	échouer
failed	échoué
failing	échouer
fails	échoue
failure	échec
fainthearted	pusillanime
faithless	déloyal
fake	faux
fall	tomber
fallacies	sophismes
fallacious	fallacieux
fallaciously	fallacieusement
fallaciousness	fausseté
fallacy	erreur
fallen	déchu
falling	chute
fallout	Tomber
falls	chutes
false	faux
falsehood	mensonge
falsely	faussement
falsify	falsifier
falter	vaciller
faltered	hésité
famished	affamé
fanatic	fanatique
fanatical	fanatique
fanatically	fanatiquement
fanaticism	fanatisme
fanatics	fanatiques
fanciful	fantaisiste
far-fetched	farfelu
farcical	grotesque
farcical-yet-provocative	farcis-et-provocateur
farcically	farcicalement
farfetched	farfelu
fascism	fascisme
fascist	fasciste
fastidious	délicat
fastidiously	méticuleusement
fastuous	rapide
fat	graisse
fatalistic	fataliste
fatalistically	fatalement
fatally	mortellement
fateful	fatidique
fatefully	fatidique
fathomless	insondable
fatigued	fatigué
fatty	gras
fatuity	fatuité
fatuous	stupide
fatuously	sottement
fault	faute
faults	défauts
faulty	défectueux
fawningly	faussement
faze	déconcerter
fear	peur
fearful	craintif
fearfully	craintivement
fears	craintes
fearsome	redoutable
feckless	incapable
feeble	faible
feeblely	faiblement
feign	feindre
feint	feinte
felon	criminel
felonious	criminel
ferociously	férocement
ferocity	férocité
fetid	fétide
fever	fièvre
feverish	fébrile
fevers	fièvres
fib	mensonge
fibber	menteur
fickle	inconstant
fictional	fictif
fictitious	fictif
fidget	remuer
fidgety	agité
fiend	démon
fiendish	diabolique
fierce	féroce
filth	saleté
filthy	crasseux
finicky	pointilleux
fist	poing
flabbergast	époustoufler
flabbergasted	sidéré
flagging	signaler
flagrantly	flagrant
flake	flocon
flaking	s'écailler
flaky	floconneux
flare	éclater
flaw	défaut
flawed	défectueux
flaws	défauts
flee	fuir
fleed	s'enfuit
fleeing	fuite
fleer	méprise
flees	fuit
fleeting	fugace
flicering	Flicering
flicker	vaciller
flickering	vacillant
flickers	scintille
flighty	volage
flimsy	fragile
flirt	flirter
flirty	coquin
floored	étage
flounder	patauger
floundering	patauger
flout	flouté
fluster	troubler
foe	ennemi
fool	imbécile
fooled	trompé
foolhardy	téméraire
foolish	insensé
foolishly	bêtement
forbid	interdire
forbidden	interdit
forbidding	interdiction
forceful	énergique
foreboding	pressentiment
forebodingly	présomptueux
forged	forgé
forgetful	oublieux
forgetfully	oublie
forgetfulness	oubli
forlorn	désespéré
forlornly	désespérément
forsake	abandonner
forsaken	abandonné
forswear	renoncer
foul	faute
foully	méchamment
foulness	méchanceté
fractious	hargneux
fragmented	fragmenté
frail	frêle
frantic	frénétique
frantically	frénétiquement
franticly	frénétiquement
fraud	fraude
fraudulent	frauduleux
fraught	chargé
frazzle	crever
frazzled	fatigué
freak	Freak
freaking	flipper
freakish	bizarre
freakishly	bizarrement
freaks	monstres
freeze	gel
freezing	gel
frenetic	frénétique
frenetically	frénétiquement
frenzied	frénétique
frenzy	frénésie
fret	frette
fretful	agité
frets	frettes
fried	frit
frigging	branler
frighten	effrayer
frightening	effrayant
frighteningly	effrayant
frightful	affreux
frightfully	affreusement
frigid	froid
frost	gel
froze	gelé
frozen	congelé
fruitless	infructueux
frustrate	frustrer
frustrated	frustré
frustrates	frustre
frustrating	frustrant
frustratingly	frustrant
fuck	Merde
fudge	truquer
fugitive	fugitif
full-blown	épanoui
fulminate	fulminer
fumble	tâtonner
fume	fumée
fumes	vapeurs
fundamentalism	fondamentalisme
funky	froussard
funnily	drôlement
funny	drôle
furious	furieux
furiously	furieusement
furor	scandale
fury	fureur
fuss	agitation
fussy	difficile
fustigate	fustiger
futilely	futilement
futility	futilité
fuzzy	flou
gabble	baragouiner
gaff	gaffe
gainsay	contredire
gainsayer	acquéreur
gall	fiel
galling	exaspérant
galls	galles
gangster	bandit
gape	bâiller
garish	criard
gasp	haleter
gaudy	voyant
gawky	gauche
geezer	type
genocide	génocide
ghastly	horrible
ghosting	fantôme
gibberish	charabia
gibe	moquerie
giddy	étourdi
gimmick	truc
gimmicking	gimmick
glare	éblouissement
