abound	bugne
succeed	lykkes
succeeded	lykkedes
succeeding	efterfølgende
succeeds	lykkes
success	succes
successes	succeser
successful	vellykket
successfully	succesfuldt
suffice	tilstrækkeligt
sufficed	tilstrækkeligt
suffices	tilstrækkeligt
sufficient	tilstrækkelig
sufficiently	tilstrækkeligt
suitable	egnet
sumptuous	overdådig
sumptuously	overdådigt
sumptuousness	overdådighed
superbly	fremragende
superior	overlegen
superiority	overlegenhed
supple	smidig
supported	understøttet
supporting	støtte
supportive	støttende
supremacy	overhøjhed
supremely	suverænt
surmount	overvinde
surpass	overgå
surreal	surrealistisk
survival	overlevelse
survivor	overlevende
sustainability	bæredygtighed
sustainable	bæredygtig
swanky	smarte
sweeping	fejende
sweet	sød
sweeten	forsøde
sweetheart	kæreste
sweetly	sødt
sweetness	sødme
swiftness	hurtighed
talented	talentfuld
talents	talenter
tantalizing	forjættende
tantalizingly	fristende
tempt	friste
tempting	fristende
temptingly	fristende
tenacious	ihærdige
tenaciously	ihærdigt
tenacity	vedholdenhed
tender	bud
tenderly	ømt
terrific	fantastisk
thank	takke
thankful	taknemmelig
thinner	tyndere
thoughtful	tankevækkende
thoughtfully	omtanke
thoughtfulness	eftertænksomhed
thrift	sparsommelighed
thrifty	sparsommelige
thrill	gys
thrilled	begejstret
thrilling	spændende
thrills	spænding
thrive	trives
thriving	blomstrende
tickle	kildre
tidy	ryddelig
time-honored	hævdvundne
timely	rettidig
tingle	snurre
titillate	pirre
titillating	pirrende
togetherness	samvær
tolerable	tålelig
toll-free	momsfri
top-notch	fortræffelig
tops	toppe
tough	sej
tougher	hårdere
toughest	hårdeste
traction	trækkraft
tranquil	rolig
tranquility	ro
transparent	gennemsigtig
treasure	skat
tremendously	uhyre
trendy	smarte
triumph	triumf
triumphal	triumftog
triumphant	triumferende
triumphantly	triumferende
trivially	trivielt
trophy	trofæ
trouble-free	problemfri
trump	trumf
trumpet	trompet
trust	tillid
trusted	betroet
trusting	tillidsfuld
trustworthiness	troværdighed
trustworthy	troværdig
trusty	trofaste
truthful	sandfærdig
truthfully	sandfærdigt
truthfulness	sandfærdighed
ultra-crisp	ultra-sprød
unabashed	skamløs
unabashedly	ufortrødent
unaffected	upåvirket
unassailable	uangribeligt
unbeatable	uovervindelig
unbiased	fordomsfri
unbound	ubundet
uncomplicated	ukompliceret
unconditional	ubetinget
undamaged	ubeskadiget
undaunted	uforfærdet
understandable	forståelig
undisputed	ubestridt
unencumbered	ubehæftet
unequivocal	utvetydige
unequivocally	utvetydigt
unfazed	uanfægtet
unfettered	uhæmmet
unforgettable	uforglemmelig
unity	enhed
unlimited	ubegrænset
unmatched	uovertruffen
unquestionable	ubestridelige
unquestionably	utvivlsomt
unreal	uvirkelig
unrestricted	ubegrænset
unrivaled	uovertruffen
unselfish	uselvisk
unwavering	urokkelige
upbeat	optimistisk
upgradable	opgraderes
upgradeable	opgraderes
upgraded	opgraderet
upheld	stadfæstet
uphold	opretholde
uplift	hævning
uplifting	opløftende
upscale	opskalere
usable	brugbar
useable	brugbar
useful	nyttig
user-friendly	brugervenlig
valiant	tapper
valiantly	tappert
valor	tapperhed
valuable	værdifuld
verifiable	verificerbare
veritable	veritabel
versatile	alsidig
versatility	alsidighed
vibrant	levende
vibrantly	spillevende
victorious	sejrende
victory	sejr
viewable	synlig
vigilance	årvågenhed
vigilant	vagt
virtue	dyd
virtuous	dydige
virtuously	dydigt
visionary	visionær
vivacious	livlig
vivid	levende
vouchsafe	forunde
warm	varm
warmer	varmere
warmhearted	varmhjertet
warmly	varmt
warmth	varme
wealthy	velhavende
welcome	velkommen
well	godt
well-backlit	godt-baggrundsbelysning
well-behaved	velopdragen
well-being	trivsel
well-bred	velopdragen
well-educated	veluddannet
well-established	veletableret
well-informed	velinformeret
well-intentioned	velmente
well-known	kendt
well-managed	veldrevet
well-mannered	velopdragen
well-positioned	veletableret
well-rounded	velafrundet
well-run	veldrevet
well-wishers	bekendte
wellbeing	velvære
wholeheartedly	helhjertet
wholesome	sund
willing	villig
willingly	villigt
willingness	villighed
win	vinde
windfall	stormfald
winner	vinder
winners	vindere
winning	vinder
wins	vinder
wisdom	visdom
wise	klog
wisely	klogt
witty	vittig
won	vandt
wonder	spekulerer
wonderful	vidunderlig
wonderfully	vidunderligt
wonderously	underfuldt
wonders	vidundere
wondrous	vidunderlige
work	arbejde
workable	gennemførlig
worked	arbejdet
works	arbejder
world-famous	verdensberømte
worth	værdi
worth-while	værd-mens
worthiness	værdighed
worthwhile	værd
worthy	værdig
wowed	henrykkede
youthful	ungdommelig
zeal	iver
zenith	zenit
zest	citronskal
2-faces	2-ansigter
abnormal	abnorm
abolish	afskaffe
abominable	vederstyggelige
abominably	vederstyggeligt
abominate	afsky
abomination	vederstyggelighed
aborted	afbrudt
aborts	afbrydes
abrade	slib
abrasive	slibende
abrupt	brat
abruptly	brat
absence	fravær
absent-minded	fraværende
absentee	fraværende
absurdity	absurditet
absurdly	absurd
abuse	misbrug
abused	misbrugt
abuses	misbrug
abusive	grov
abysmal	afgrundsdyb
abyss	afgrunden
accidental	tilfældig
accost	antaste
accursed	forbandede
accusation	anklage
accusations	beskyldninger
accuse	beskylde
accuses	beskylder
accusing	beskylder
accusingly	anklagende
acerbic	bitre
acerbically	syrligt
ache	smerte
ached	smertede
aches	ømhed
aching	smertende
acrid	skarp
acrimonious	bitter
acrimony	bitterhed
adamant	ubøjelig
addict	narkoman
addicted	afhængige
addicting	vanedannende
addicts	misbrugere
admonish	formane
admonishingly	advarende
admonition	formaning
adulterate	forfalske
adulterated	forfalsket
adulteration	forfalskning
adversarial	kontradiktorisk
adversary	modstander
adverse	ugunstig
adversity	modgang
afflict	plage
affliction	lidelse
affront	krænkelse
afraid	bange
aggravate	forværre
aggravating	forværret
aggravation	forværring
aggressive	aggressiv
aggressiveness	aggressivitet
aggrieved	forurettede
aghast	forfærdet
agonies	kvaler
agonize	pines
agonizing	pinefuld
agonizingly	pinefuldt
agony	smerte
aground	grundstødte
ail	ail
ailing	skrantende
ailment	lidelse
aimless	formålsløs
alarmed	alarmeret
alarming	alarmerende
alarmingly	alarmerende
alienate	fremmedgøre
alienated	fremmedgjorte
alienation	fremmedgørelse
allegation	påstand
allegations	beskyldninger
allege	påstår
allergic	allergisk
allergies	allergi
allergy	allergi
aloof	tilknappet
altercation	skænderi
ambiguity	tvetydighed
ambiguous	tvetydig
ambivalence	ambivalens
ambush	baghold
amiss	galt
amputate	amputere
anarchism	anarkisme
anarchist	anarkist
anarchistic	anarkistiske
anarchy	anarki
anemic	anæmisk
anger	vrede
angrily	vredt
angry	vred
anguish	kvaler
animosity	fjendskab
annihilate	tilintetgøre
annihilation	tilintetgørelse
annoy	irritere
annoyance	irritation
annoyances	irritationsmomenter
annoyed	irriteret
annoying	irriterende
annoyingly	irriterende
annoys	irriterer
anomalous	unormal
anomaly	anomali
antagonism	antagonisme
antagonist	modstander
antagonistic	antagonistiske
antagonize	modarbejde
anti-israeli	anti-israelske
anti-occupation	anti-besættelse
anti-semites	antisemitter
anti-social	asocial
anti-us	anti-os
anti-white	anti-hvid
antipathy	antipati
antiquated	antikveret
antithetical	modsætninger
anxieties	bekymringer
anxiety	angst
anxious	ængstelig
anxiously	ængsteligt
anxiousness	angst
apathetic	apatisk
apathetically	apatisk
apathy	apati
apocalypse	dommedag
apocalyptic	apokalyptisk
apologist	apologet
apologists	apologeter
appal	forfærde
appall	forfærder
appalled	rystet
appalling	rystende
appallingly	togforsinkelser
apprehension	ængstelse
apprehensions	ængstelse
apprehensive	betænkelig
apprehensively	ængsteligt
arbitrary	vilkårlig
arcane	mystiske
archaic	gammeldags
arduous	besværlig
argumentative	argumenterende
arrogantly	arrogant
asinine	tåbelige
askance	sideblik
assail	angribe
assassin	snigmorder
assassinate	myrde
assault	angreb
assult	assult
asunder	sønder
atrocious	grusomme
atrocities	grusomheder
atrocity	grusomhed
atrophy	atrofi
attack	angreb
attacks	angreb
audacious	dristig
audaciously	dristighed
audaciousness	dristighed
audacity	dristighed
austere	barsk
authoritarian	autoritær
autocrat	selvhersker
autocratic	autokratisk
avalanche	lavine
avarice	griskhed
avaricious	gerrig
avenge	hævne
averse	utilbøjelig
aweful	zawsze
awful	forfærdelig
awfully	forfærdelig
awfulness	præsent
awkward	akavet
awkwardness	kejtethed
ax	økse
babble	pludre
back-logged	back-logget
back-wood	back-træ
back-woods	sikkerhedskopiere-woods
backache	rygsmerter
backbite	bagtale
backbiting	bagtalelse
backward	baglæns
backwardness	tilbageståenhed
backwood	backwood
bad	dårlig
badly	dårligt
baffle	forbløffe
baffled	forvirret
baffling	forvirrende
bait	lokkemad
balk	balk
banal	banale
banish	forjage
banishment	landsforvisning
bankrupt	bankerot
barbarian	barbar
barbaric	barbarisk
barbarically	barbarisk
barbarity	barbari
barbarous	barbarisk
barbarously	barbarisk
barren	ufrugtbar
baseless	grundløse
bashful	undseelig
bastard	skiderik
bastards	skiderikker
battered	voldsramte
batty	batty
beastly	væmmelig
bedlam	galehus
beg	tigge
beggar	tigger
beggarly	ussel
begging	tigger
beguile	narre
belated	forsinket
beleaguer	belejre
belie	dementere
belittle	forklejne
belittled	nedgjort
belittling	bagatellisering
bellicose	krigeriske
belligerence	krigeriskhed
belligerent	krigsførende
belligerently	antydningerne
bemoan	begræder
bemoaning	begræder
bemused	undrende
bent	bøjet
berate	skælde
bereave	berøve
bereavement	dødsfald
bereft	blottet
berserk	amok
beseech	bønfalder
beset	plaget
besiege	belejre
besmirch	besudle
bestial	dyrisk
betray	forråde
betrayal	forræderi
betrayals	bedrag
betrayer	forræderen
betraying	forråde
betrays	forråder
bewail	begræde
bewilder	forvirre
bewildered	forvirret
bewildering	forvirrende
bewilderingly	forvirrende
bewilderment	forvirring
bewitch	forhekse
bias	partiskhed
biased	forudindtaget
biases	fordomme
bicker	småskændes
bickering	skænderier
bigotries	bigotteri
bigotry	fordomme
bitch	tæve
bitchy	spydig
biting	bidende
bitterly	bittert
bitterness	bitterhed
bizarre	bizar
blackmail	afpresse
blame	bebrejde
blameworthy	dadelværdigt
bland	kedelig
blaspheme	bespotte
blasphemous	blasfemisk
blasphemy	blasfemi
blasted	sprængte
blatant	åbenlys
blatantly	åbenlyst
bleak	dyster
bleed	bløde
bleeding	blødende
bleeds	bløder
blemish	skamplet
blinding	blændende
blindingly	blændende
blister	vabel
blistering	blærer
bloated	oppustet
blockage	blokering
blockhead	dumrian
bloodshed	blodsudgydelse
bloodthirsty	blodtørstige
bloody	blodig
blotchy	plettet
blow	blæse
blunder	bommert
blundering	famle
blunders	brølere
blunt	sløv
blur	sløring
blurred	sløret
blurring	sløring
blurry	sløret
blurs	sløring
blurt	buse
boastful	pralende
bogus	fup
boil	koge
boiling	kogning
boisterous	larmende
bomb	bombe
bombard	bombardere
bombardment	bombardement
bombastic	bombastisk
bondage	trældom
bonkers	skrupskør
boredom	kedsomhed
bores	boringer
boring	kedelig
bother	forstyrre
bothered	generet
bothering	generer
bothers	generer
bothersome	generende
boycott	boykot
braggart	pralhals
bragger	brøgger
brainless	hjernedøde
brainwash	hjernevaske
brash	pågående
brat	møgunge
brazen	fræk
brazenly	frækt
breach	brud
break	pause
breakdown	sammenbrud
breaks	pauser
bribery	bestikkelse
brimstone	svovl
bristle	stritter
brittle	skør
broken-hearted	sønderknust
brood	yngel
bruised	forslået
brusque	brysk
brutalising	brutaliserende
brutalities	brutalitet
brutality	brutalitet
brutalizing	brutaliserende
brutally	brutalt
brutish	dyrisk
buckle	spænde
bug	insekt
bugging	aflytning
bulkier	tykkere
bulkiness	arbitragemuligheder
bulky	pladskrævende
bull****	tyr****
bull----	tyr----
bullies	bøller
bully	bølle
bullying	mobning
bum	vagabond
bumped	stødte
bumping	bumpe
bumps	bump
bumpy	ujævn
bungle	bungle
bungler	klodrian
bungling	brok
bunk	køje
burden	byrde
burdensome	belastende
burn	brænde
burned	brændt
burning	brænding
burns	forbrændinger
bust	buste
busts	buster
busybody	plageånd
butcher	slagter
butchery	slagteri
buzzing	summende
byzantine	byzantinske
cackle	kagle
calamities	ulykker
calamitous	katastrofal
calamity	ulykke
callous	afstumpede
calumniate	bagvaske
calumnies	bagvaskelser
calumnious	bagtalerisk
calumny	bagvaskelse
cancer	kræft
cancerous	kræft
cannibal	kannibal
cannibalize	kannibalisere
capitulate	kapitulere
capricious	lunefuld
capriciously	lunefuldt
capriciousness	lunefuldhed
capsize	kæntre
careless	ligegyldig
carelessness	ligegyldighed
caricature	karikatur
carnage	blodbad
carp	karpe
cartoonish	tegneserieagtige
castrated	kastreret
casualty	tilskadekomne
cataclysm	katastrofe
cataclysmic	katastrofal
catastrophe	katastrofe
catastrophes	katastrofer
catastrophic	katastrofale
catastrophically	katastrofalt
catastrophies	katastrofer
caustic	kaustisk
caustically	spydigt
cautionary	advarende
cave	hule
censure	kritisere
chafe	gnave
chaff	avner
chagrin	ærgrelse
challenging	udfordrende
chaos	kaos
chaotic	kaotisk
chasten	tugter
chastise	revse
chastisement	revselse
chatter	snak
chatterbox	sludrechatol
cheap	billig
cheaply	billigt
cheat	snyde
cheated	snydt
cheats	snyder
checkered	ternet
cheerless	uhyggeligt
cheesy	billig
childish	barnlig
chilly	kølig
choke	kvæle
choleric	koleriske
choppy	urolig
chronic	kronisk
clamor	protester
clamorous	larmende
clash	sammenstød
cliche	kliché
cliched	fjollet
clique	klike
clog	træsko
clogged	tilstoppet
clogs	træsko
cloud	sky
clouding	uklarhed
cloudy	overskyet
clumsy	klodset
clunky	klodset
coarse	grov
cocky	kæphøj
coerce	tvinge
coercion	tvang
coercive	tvangsindgreb
cold	kold
coldly	koldt
combative	kampklar
combust	forbrænde
comical	komisk
commiserate	kondolere
commonplace	hverdagskost
commotion	tumult
commotions	oprør
complacent	selvtilfreds
complained	klagede
complaining	klager
complains	klager
complaint	klage
complaints	klager
complex	kompleks
complicated	kompliceret
complication	komplikation
complicit	medskyldige
compulsion	tvang
compulsive	kompulsiv
concede	indrømme
conceded	indrømmede
conceit	indbildskhed
conceited	indbildsk
concen	koncen
concens	concens
concern	bekymring
concerned	berørte
concerns	bekymringer
concession	koncession
concessions	indrømmelser
condemn	fordømme
condemnable	fordømmes
condemnation	fordømmelse
condemned	fordømte
condemns	fordømmer
condescend	nedlade
condescending	nedladende
condescendingly	nedladende
condescension	nedladenhed
confess	indrømme
confession	tilståelse
confessions	bekendelser
confined	begrænset
conflict	konflikt
conflicted	konflikt
conflicting	modstridende
conflicts	konflikter
confound	forvirre
confounded	beskæmmet
confounding	forvirrende
confront	konfrontere
confrontation	konfrontation
confrontational	konfronterende
confuse	forvirre
confused	forvirret
confuses	forvirrer
confusing	forvirrende
confusion	forvirring
confusions	forvekslinger
congested	overbelastet
congestion	overbelastning
cons	ulemper
conservative	konservativ
conspicuous	iøjnefaldende
conspicuously	iøjnefaldende
conspiracies	sammensværgelser
conspiracy	sammensværgelse
conspirator	medsammensvoren
conspiratorial	konspiratoriske
conspire	konspirerer
consternation	bestyrtelse
contagious	smitsom
contaminate	forurene
contaminated	kontamineret
contaminates	forureninger
contaminating	forurener
contamination	forurening
contempt	foragt
contemptible	foragtelig
contemptuous	foragtende
contemptuously	foragteligt
contend	kæmpe
contention	påstand
contentious	omstridt
contort	vride
contortions	krumspring
contradict	modsige
contradiction	modsigelse
contradictory	modstridende
contrariness	vrangvillighed
contravene	strid
contrive	udtænke
contrived	konstruerede
controversial	kontroversielle
controversy	kontrovers
convoluted	højtravende
corrode	korroderer
corrosion	korrosion
corrosions	tæringer
corrosive	ætsende
corrupt	korrupt
corrupted	beskadiget
corrupting	korrumperende
corruption	korruption
corrupts	korrumperer
costlier	dyrere
costly	kostbar
counter-productive	bagslag
counterproductive	kontraproduktivt
covetous	begærlige
coward	kujon
cowardly	fej
crabby	gnavne
crack	sprække
cracked	revnet
cracks	revner
craftily	underfundigt
crafty	snu
cramp	krampe
cramped	trange
cramping	kramper
cranky	mærkelig
crap	lort
crappy	dårlig
crash	krak
crashing	crash
crass	kras
craven	craven
cravenly	krysteragtig
craze	dille
crazily	sindssygt
craziness	vanvid
creak	knirke
creaking	knirkende
creaks	knirker
credulous	godtroende
creep	krybe
creeping	snigende
creeps	kryber
creepy	uhyggelig
crept	krøb
crime	forbrydelse
criminal	kriminel
cringe	krybe
cripple	krøbling
crippled	forkrøblede
cripples	krøblinge
crippling	lammende
crisis	krise
critic	kritiker
critical	kritisk
criticism	kritik
criticisms	kritik
criticize	kritisere
criticized	kritiseret
criticizing	kritisere
critics	kritikere
cronyism	kammerateri
crook	skurk
crooked	skæv
crooks	skurke
crowded	overfyldt
crude	rå
cruel	grusom
cruelest	ondeste
cruelly	grusomt
cruelties	grusomheder
cruelty	grusomhed
crumble	smuldre
crumbling	smuldre
crummy	mærkværdige
crumple	krølle
crumpled	krøllet
crumples	krøller
crushed	knust
crushing	knusning
cry	skrig
culpable	skyldig
culprit	synderen
cumbersome	besværlig
cunt	kusse
cunts	kusser
curse	forbande
cursed	forbandet
curses	forbandelser
curt	curt
cuss	bande
cussed	drøftet
cutthroat	skarp
cynical	kynisk
cynicism	kynisme
damage	skade
damaged	beskadiget
damages	skader
damaging	skadelige
damnable	forbandet
damnably	forbandet
damnation	forbandelse
damned	forbandet
damning	fældende
damper	dæmper
danger	fare
dangerous	farligt
dangerousness	farlighed
dark	mørk
darken	mørkere
darkened	formørket
darker	mørkere
darkness	mørke
dastard	ugerningsmand
dastardly	nedrige
daunt	daunt
daunting	skræmmende
daze	døs
dazed	fortumlet
dead	død
deadlock	dødvande
deadly	dødelig
deadweight	dødvægt
deaf	døv
dearth	mangel
death	død
debacle	fiaskoen
debase	nedværdige
debasement	fornedrelse
debaser	debaser
debatable	diskutabel
debauch	korrumpere
debauchery	skørlevned
debilitate	svække
debilitating	invaliderende
debility	svækkelse
debt	gæld
debts	gæld
decadence	dekadence
decadent	dekadent
decay	henfald
decayed	henfaldet
deceit	bedrag
deceitful	bedragerisk
deceitfully	bedragerisk
deceive	bedrage
deceiver	bedrager
deceivers	bedragere
deceiving	bedrager
deception	bedrag
deceptive	vildledende
deceptively	bedragerisk
declaim	deklamere
decline	nedgang
declines	fald
declining	faldende
decrement	formindskelsen
decrepit	affældig
decry	nedvurderer
defamation	ærekrænkelse
defamations	æreskrænkelser
defamatory	ærekrænkende
defame	bagvaske
defect	defekt
defective	defekt
defects	defekter
defensive	defensiv
defiance	trodsighed
defiant	trodsig
defiantly	trodsigt
deficiencies	mangler
deficiency	mangel
deficient	mangelfuld
defile	besmitte
deform	deformere
deformed	deform
defrauding	svindel
defunct	hedengangne
defy	trodse
degenerate	degenereret
degenerately	degenerativt
degradation	nedbrydning
degrade	nedbryde
degrading	nedværdigende
dehumanization	umenneskeliggørelse
dehumanize	umenneskeliggøre
deign	nedlade
dejected	modløs
dejectedly	mismodigt
dejection	mismod
delay	forsinke
delayed	forsinket
delaying	forsinke
delays	forsinkelser
delinquency	ungdomskriminalitet
delinquent	kriminel
delirious	ellevild
delude	narre
deluded	vildledt
deluge	syndflod
delusion	vrangforestilling
delusional	vrangforestilling
delusions	vrangforestillinger
demean	nedværdige
demeaning	nedgørende
demise	død
demolish	nedrive
demolisher	demolisher
demon	dæmon
demonic	dæmonisk
demonize	dæmonisere
demonized	dæmoniseret
demonizes	dæmoniserer
demonizing	dæmonisering
demoralize	demoralisere
demoralizing	demoraliserende
denial	afslag
denied	nægtet
denies	benægter
denigrate	nedgøre
denounce	opsige
dense	tæt
dent	bule
dented	bulet
dents	buler
denunciate	udtræde
denunciation	opsigelse
denunciations	opsigelser
deny	nægte
denying	benægte
deplete	nedbryder
deplorable	beklageligt
deplorably	beklagelig
deplore	beklage
deploring	beklager
deprave	fordærve
depraved	fordærvet
deprecate	misbillige
depress	trykke
depressed	deprimeret
depressing	deprimerende
depressingly	deprimerende
depressions	depressioner
deprive	fratage
deprived	berøvet
deride	håne
derision	hån
derisive	spottende
derisively	hånligt
derogatory	nedsættende
desecrate	vanhellige
desert	ørken
desiccate	tørre
desiccated	udtørret
desolate	øde
desolation	trøstesløshed
despair	fortvivlelse
despairing	fortvivlet
despairingly	fortvivlet
desperate	desperat
desperately	desperat
despicable	foragtelig
despicably	foragteligt
despise	foragte
despised	foragtet
despoil	udplyndre
despondency	modløshed
despondent	mismodig
despondently	mismodig
despotic	despotisk
despotism	despoti
destabilisation	destabilisering
destitute	nødlidende
destitution	armod
destroy	ødelægge
destruction	ødelæggelse
destructive	destruktiv
desultory	usammenhængende
deter	afskrække
deteriorate	forringes
deteriorating	forværrede
deterioration	forringelse
deterrent	afskrækkende
detest	afskyr
detestable	afskyelige
detested	forhadte
detests	afskyer
detracted	forringet
detracting	forklejne
detracts	forringer
detriment	skade
detrimental	skadelig
devastate	ødelægge
devastated	knust
devastates	ødelægger
devastating	ødelæggende
devastatingly	sønderlemmende
devastation	ødelæggelser
deviate	afvige
deviation	afvigelse
devil	djævel
devilish	djævelsk
devilishly	djævelsk
devilry	djævelskab
devious	lusket
deviousness	forvridninger
devoid	blottet
diabolic	diabolsk
diabolical	djævelsk
diabolically	djævelsk
diametrically	diametralt
dictator	diktator
dictatorial	diktatorisk
die	dø
died	døde
dies	dør
difficult	svært
difficulties	vanskeligheder
difficulty	vanskelighed
diffidence	generthed
dilapidated	faldefærdige
dilly-dally	drys
dim	svag
dimmer	lysdæmper
din	larmen
dirt	smuds
dirty	snavset
disable	deaktivere
disabled	handicappet
disadvantage	ulempe
disadvantageous	ufordelagtig
disadvantages	ulemper
disaffected	utilfredse
disagreeable	ubehagelig
disagreeably	ubehageligt
disagreed	uenige
disagreeing	uenige
disagreement	uenighed
disagrees	uenig
disallow	forbyd
disappoint	skuffe
disappointed	skuffet
disappointing	skuffende
disappointingly	skuffende
disappointment	skuffelse
disappointments	skuffelser
disappoints	skuffer
disapproval	misbilligelse
disapprove	misbillige
disapproving	misbilligende
disarm	afvæbne
disarray	uorden
disaster	katastrofe
disasterous	katastrofale
disastrous	katastrofal
disastrously	katastrofalt
disavow	dementere
disavowal	desavouering
disbelief	vantro
disbelieve	tvivle
disbeliever	vantro
disclaim	fralægger
discomfort	ubehag
disconcerted	forvirrede
disconcerting	foruroligende
disconsolate	utrøstelig
disconsolately	trøstesløst
discontent	utilfredshed
discontented	utilfredse
discontentedly	misfornøjet
discontinued	afbrydes
discontinuity	diskontinuitet
discontinuous	diskontinuerlig
discord	disharmoni
discordance	uoverensstemmelse
discordant	uharmonisk
discourage	afskrække
discouragement	modløshed
discouraging	nedslående
discouragingly	demotiverende,
discourteous	uhøfligt
discourteously	uhøfligt
discredit	miskreditere
discrepant	afvigende
discriminate	diskriminere
discrimination	forskelsbehandling
discriminatory	diskriminerende
disdain	foragt
disdained	ringeagtede
disdainful	hånlige
disdainfully	foragtelig
disfavor	disfavorisere
disgrace	vanære
disgraced	vanærede
disgraceful	vanærende
disgracefully	skammelig
disgruntled	utilfredse
disgust	afsky
disgusted	væmmes
disgusting	ulækkert
disgustingly	fælt
disheartening	nedslående
dishonest	uærlig
dishonestly	uærligt
dishonesty	uærlighed
dishonor	vanære
dishonorable	uhæderlig
disillusion	desillusion
disillusioned	desillusionerede
disillusionment	desillusionering
disinclination	ulyst
disinclined	utilbøjelige
disingenuous	tilsnigelse
disingenuously	uvederhæftig
disintegrate	smuldre
disintegrated	opløst
disinterested	uinteresseret
disliked	hadede
dislikes	antipatier
dislocated	forvredet
disloyal	illoyale
disloyalty	illoyalitet
dismal	trist
dismay	forfærdelse
dismayed	bestyrtet
dismaying	forfærdende
dismayingly	nedslående
dismissive	afvisende
dismissively	affærdigende
disobedience	ulydighed
disobedient	ulydig
disorder	sygdom
disordered	uorganiseret
disorderly	uordentligt
disorganized	uorganiseret
disorient	forvirre
disoriented	desorienteret
disown	fornægte
disparage	underkende
disparaging	nedsættende
disparagingly	nedsættende
dispensable	undværes
dispirited	nedslået
dispiriting	nedslående
displace	fordrive
displaced	forskudt
displease	mishage
displeased	utilfreds
displeasure	mishag
disproportionate	uforholdsmæssig
disprove	modbevise
disputable	diskutabelt
dispute	bestride
disputed	omstridte
disquiet	uro
disquieting	foruroligende
disquietingly	foruroligende
disquietude	uro
disregard	foragt
disregardful	uopmærksom
disreputable	berygtet
disrepute	miskredit
disrespect	respektløshed
disrespectful	respektløst
disrespectfully	respektløst
disrupt	afbryde
disruption	forstyrrelser
disruptive	forstyrrende
dissapointed	skuffet
dissappointed	skuffet
dissatisfaction	utilfredshed
dissatisfactory	utilfredsstillende
dissatisfied	utilfreds
dissatisfying	utilfredsstillende
dissemble	forstille
dissension	splid
dissent	uenighed
disservice	bjørnetjeneste
dissidence	dissidens
dissidents	dissidenter
dissolute	udsvævende
dissolution	opløsning
dissonance	dissonans
dissonant	dissonante
dissonantly	dissonerende
dissuade	afholde
dissuasive	afskrækkende
distaste	afsmag
distasteful	usmagelig
distort	fordreje
distorted	forvrænget
distortion	forvrængning
distorts	fordrejer
distract	distrahere
distracting	distraherende
distraction	distraktion
distraught	fortvivlet
distress	nød
distressed	nødstedte
distressing	rystende
distressingly	foruroligende
distrust	mistillid
distrustful	mistroiske
distrusting	mistillid
disturb	forstyrre
disturbance	forstyrrelse
disturbed	forstyrret
disturbing	foruroligende
disturbingly	foruroligende
disunity	splittelse
divergent	divergerende
divisive	splittende
divisiveness	splittelse
dizzy	svimmel
doddering	mimrende
dogged	udholdende
doggedly	stædigt
dogmatic	dogmatisk
doldrums	dødvande
domineering	dominerende
doomed	dømt
doomsday	dommedag
doubt	tvivl
doubtful	tvivlsom
doubtfully	tvivlende
doubts	tvivl
douchebag	idiot
downcast	nedslået
downer	nedtur
downfall	fald
downgrade	nedgradering
downhearted	modfaldne
downsides	ulemper
downturn	nedtur
downturns	nedgangstider
drab	kedelig
draconian	drakoniske
draconic	draconic
dragged	slæbte
dragging	trække
dragoon	dragon
drags	slæber
drain	dræne
drained	drænet
draining	dræning
drains	afløb
drastic	drastisk
drastically	drastisk
drawback	ulempe
drawbacks	ulemper
dread	rædsel
dreadful	forfærdelig
dreadfully	frygtelig
dreadfulness	forfærdelige
dreary	kedelig
dripped	dryppede
dripping	dryp
drips	drypper
drones	droner
droop	hænge
drought	tørke
drowning	drukning
drunk	beruset
drunkard	drukkenbolt
drunken	beruset
dubious	tvivlsom
dubiously	tvivlende
dud	blindgænger
dull	kedelig
dumb	dum
dumped	dumpet
dumps	lossepladser
dunce	tumpe
dungeon	fangehul
dust	støv
dusty	støvet
dwindling	svindende
dying	døende
eccentric	excentrisk
eccentricity	excentricitet
effigy	statue
effrontery	uforskammethed
egocentric	egocentrisk
egomania	storhedsvanvid
egotism	egoisme
egotistical	egoistisk
egotistically	egoistisk
egregious	ekstreme
election-rigger	valg-rigger
emaciated	afmagret
emasculate	svække
embarrass	genere
embarrassing	pinlig
embarrassingly	pinligt
embarrassment	forlegenhed
embattled	kampberedt
embroil	indvikle
embroiled	involveret
emergency	nødsituation
emphatic	empatisk
emphatically	eftertrykkeligt
emptiness	tomhed
encroachment	indgreb
endanger	fare
enemies	fjender
enemy	fjende
enfeeble	svække
enflame	opflamme
engulf	opsluge
enjoin	påbyde
enmity	fjendskab
enraged	rasende
enslave	slavebinde
entangle	vikle
entanglement	sammenfiltring
entrap	fange
entrapment	fastklemning
envious	misundelig
enviously	misundeligt
epidemic	epidemi
equivocal	tvetydig
erase	slette
erode	erodere
erodes	eroderer
errant	vildfaren
erratic	uregelmæssig
erratically	uregelmæssigt
erroneous	fejlagtige
erroneously	fejlagtigt
error	fejl
errors	fejl
eruptions	udbrud
escapade	eskapade
estranged	fremmedgjort
evade	unddrage
evasion	omgåelse
evasive	undvigende
evil	ond
evils	onder
exacerbate	forværre
exagerated	overdrevet
exaggerate	overdrive
exaggeration	overdrivelse
