abound	abundan
subsidizes	subvenciona
subsidizing	subvencionar
substantive	substantivo
succeeded	conseguiu
succeeding	seguindo
succeeds	éxito
succes	éxito
success	éxito
successes	éxitos
successful	exitoso
suffice	suficiente
sufficed	suficiente
sufficient	suficiente
sufficiently	suficientemente
suitable	apto
sumptuous	suntuoso
sumptuously	sumptuosamente
sumptuousness	sumptuosidade
super	super
superb	excelente
superbly	excelentemente
superior	superior
superiority	superioridade
supple	flexible
support	soporte
supported	apoiado
supporter	partidario
supporting	apoio
supportive	solidario
supports	soportes
supremacy	supremacía
supreme	supremo
supremely	supremamente
supurb	Supurb
supurbly	supurbly
surmount	superar
surpass	superar
surreal	surrealista
survival	supervivencia
survivor	sobrevivente
sustainability	sostenibilidade
sustainable	sostenible
swank	swank
swankier	swankier
swankiest	swankiest
swanky	swanky
sweeping	varrendo
sweet	doce
sweeten	endulzar
sweetheart	cariño
sweetly	doce
sweetness	dozura
swift	rápido
swiftness	rapidez
talent	talento
talented	talentoso
talents	talentos
tantalize	tantalizar
tantalizing	tentador
tantalizingly	tantalizando
tempt	tentar
tempting	tentador
temptingly	tentadoramente
tenacious	tenaz
tenaciously	tenazmente
tenacity	tenacidade
tender	concurso
tenderly	tiernamente
terrific	fantástico
terrifically	terriblemente
thank	grazas
thankful	agradecido
thoughtful	reflexivo
thoughtfully	pensativo
thoughtfulness	reflexividade
thrift	Ahorro
thrifty	afable
thrill	emoción
thrilled	emocionado
thrilling	emocionante
thrillingly	emocionante
thrills	emocións
thrive	prosperar
thriving	prosperando
thumb-up	thumb-up
thumbs-up	pulgar-up
tickle	cóxegas
tidy	ordenado
timely	oportuna
tingle	tingle
titillate	titilar
titillating	titilar
titillatingly	titillatingly
togetherness	unión
tolerable	tolerable
top	arriba
top-notch	top-notch
topnotch	topnotch
tops	tops
tough	duro
traction	tracción
tranquil	tranquilo
tranquility	tranquilidade
transparent	transparente
treasure	tesouro
tremendously	tremendamente
triumph	triunfo
triumphal	triunfal
triumphant	triunfante
triumphantly	triunfante
trivially	trivialmente
trophy	trofeo
trump	triunfo
trumpet	trompeta
trust	confianza
trusted	fiable
trusting	confiando
trustworthiness	confiabilidade
trusty	confiado
truthful	veraz
truthfulness	veracidade
twinkly	centelleante
ultra-crisp	ultra-crujiente
unassailable	inatacable
unbeatable	imbatible
unbiased	imparcial
unconditional	incondicional
understandable	comprensible
undisputable	indiscutible
undisputably	indiscutiblemente
undisputed	indiscutible
unequivocal	inequívoco
unequivocally	inequívocamente
unforgettable	inesquecible
unity	unidade
unlimited	ilimitado
unmatched	inigualable
unparalleled	inigualable
unquestionable	indiscutible
unreal	irreal
unrivaled	inigualable
unselfish	desinteresado
unwavering	inquebrantable
upbeat	optimista
upgradable	actualizable
upgradeable	actualizable
upgraded	actualizado
upheld	confirmado
uphold	manter
uplift	elevación
uplifting	edificante
upliftingly	ergonamente
upliftment	elevación
upscale	exclusivo
usable	usable
useable	usable
useful	útil
user-friendly	amigable
valiant	valeroso
valiantly	valientemente
valor	valor
valuable	valioso
variety	variedade
venerate	venerar
verifiable	verificable
veritable	verdadeiro
versatile	versátil
versatility	versatilidade
vibrant	vibrante
vibrantly	vibrante
victorious	victorioso
victory	vitoria
viewable	visible
vigilance	vixilancia
vigilant	vigilante
virtue	virtude
virtuous	virtuoso
virtuously	virtuosamente
visionary	visionario
vivacious	vivaz
vivid	vívido
vouch	vouch
vouchsafe	vouchsafe
warm	cálido
warmhearted	cálido
warmly	cariñosamente
warmth	calor
wealthy	ricos
welcome	benvidos
well	ben
well-being	benestar
wellbeing	benestar
whoa	whoa
wholesome	saudable
whooa	quenoa
whoooa	whoooa
wieldy	empatado
willing	disposto
willingness	vontade
win	gañar
windfall	inesperado
winnable	winnable
winner	ganador
winners	ganadores
winning	gañar
wins	gaña
wisdom	sabedoría
wise	sabio
wisely	sabiamente
witty	ingenioso
won	gañou
wonder	marabilla
wonderful	marabilloso
wonderfully	marabillosas
wonderous	marabilloso
wonderously	marabillosas
wonders	marabillas
wondrous	marabilloso
woo	woo
work	traballo
workable	viable
worked	funcionou
works	obras
world-famous	famoso
worth-while	valioso
worthiness	dignidade
worthy	digno
wow	wow
wowed	wowed
wowing	wowing
wows	wows
yay	xa
youthful	xuvenil
zeal	celo
zenith	cenit
zest	ronquido
zippy	zippy
abnormal	anormal
abolish	abolir
abominable	abominable
abominably	abominablemente
abominate	abominar
abomination	abominación
abort	abortar
aborted	cancelado
aborts	aborts
abrade	abrade
abrasive	abrasivo
abrupt	brusco
abruptly	bruscamente
abscond	abscond
absence	ausencia
absentee	ausente
absurd	absurdo
absurdity	absurdo
absurdly	absurdamente
absurdness	absurdo
abuse	abuso
abused	maltratado
abuses	abusos
abusive	abusivo
abysmal	abismal
abysmally	abismalmente
abyss	abismo
accidental	accidental
accost	Acordo
accursed	maldito
accusation	acusación
accusations	acusacións
accuse	acusar
accuses	acusa
accusing	acusando
acerbate	acerbate
acerbic	acerbic
acerbically	acerbicamente
ache	dor
ached	afligido
aches	dor
achey	achey
aching	dolorido
acrid	acrid
acridly	acridly
acridness	acridness
acrimonious	acrimonious
acrimoniously	acrimoniously
acrimony	acrimony
adamant	firme
adamantly	firme
addict	adicto
addicted	adicto
addicting	adictivo
addicts	adictos
admonish	adormecer
admonisher	admonitor
admonishingly	admonitora
admonishment	admonición
admonition	admonición
adulterate	adulterado
adulterated	adulterado
adulteration	adulteración
adulterier	adulterio
adversarial	adversariedade
adversary	adversario
adverse	adverso
adversity	adversidade
afflict	afligido
affliction	aflición
afflictive	aflixente
affront	afrontamento
afraid	temer
aggravate	agravar
aggravating	agravante
aggravation	agravamento
aggression	agresión
aggressive	agresivo
aggressiveness	agresividade
aggressor	agresor
aggrieve	agravar
aggrieved	agraviado
aggrivation	agresión
aghast	aghast
agonies	agonías
agonize	agonizar
agonizing	agonizante
agonizingly	agonizante
agony	agonía
aground	encallado
ail	ail
ailing	enfermo
ailment	enfermidade
alarm	alarma
alarmed	alarmado
alarming	alarmante
alarmingly	alarmante
alienate	alienar
alienated	alienado
alienation	alienación
allegation	alegación
allegations	alegacións
allege	alegar
allergic	alérxica
allergies	alerxias
allergy	alerxia
aloof	aloof
altercation	altercado
ambiguity	ambigüidade
ambiguous	Ambiguo
ambivalence	ambivalencia
ambivalent	ambivalente
ambush	emboscada
amiss	mal
amputate	amputar
anarchism	anarquismo
anarchist	anarquista
anarchistic	anarquista
anarchy	anarquía
anemic	anémico
anger	rabia
angrily	enojado
angriness	angustia
angry	enojado
anguish	angustia
animosity	animosidade
annihilate	aniquilar
annihilation	aniquilación
annoy	molestar
annoyance	aborrecemento
annoyances	molestias
annoyed	molesto
annoying	molesto
annoyingly	irritante
annoys	molesta
anomalous	anómalo
anomaly	anomalía
antagonism	antagonismo
antagonist	antagonista
antagonistic	antagónico
antagonize	antagonizar
anti-	anti-
anti-american	antiamericanos
anti-israeli	anti-israelí
anti-occupation	anti-ocupación
anti-proliferation	anti-proliferación
anti-semites	antisemitas
anti-social	antisocial
anti-us	anti-us
anti-white	anti-branco
antipathy	antipatía
antiquated	anticuado
antithetical	antitético
anxieties	ansiedades
anxiety	ansiedade
anxious	ansioso
anxiously	ansiosamente
anxiousness	ansiedade
apathetic	apático
apathetically	apaticamente
apathy	apatía
apocalypse	apocalipse
apocalyptic	apocalíptico
apologist	apologista
apologists	apoloxistas
appal	appal
appall	appall
appalled	asustado
appalling	aterrador
appallingly	terriblemente
apprehension	aprehensión
apprehensions	aprensións
apprehensive	aprensivo
apprehensively	aprensivamente
arbitrary	arbitrario
arcane	arcano
archaic	arcaico
arduous	arduo
arduously	arduamente
argumentative	argumentativo
arrogance	arrogancia
arrogant	arrogante
arrogantly	arrogantemente
ashamed	avergoñado
asinine	asinina
asininely	asininamente
asinininity	asininidade
askance	askance
asperse	aspirar
aspersion	aspersión
aspersions	aspersións
assail	asaltar
assassin	asasino
assassinate	asasinar
assault	asalto
assult	Asulto
astray	desviarse
asunder	asunder
atrocious	atroz
atrocities	atrocidades
atrocity	atrocidade
atrophy	atrofia
attack	ataque
attacks	ataques
audacious	audaz
audaciously	audazmente
audaciousness	audacia
audacity	audacia
audiciously	auditivo
austere	austero
authoritarian	autoritario
autocrat	autócrata
autocratic	autocrático
avalanche	avalancha
avarice	avaricia
avaricious	avaricioso
avariciously	avariamente
avenge	vingar
averse	averse
aversion	aversión
aweful	sorprendente
awful	horrible
awfully	terriblemente
awfulness	horrible
awkward	incómodo
awkwardness	incómoda
ax	hacha
babble	babble
back-woods	bosqueiros
backaches	dorsos
backaching	backaching
backbite	backbite
backbiting	backbiting
backwardness	atraso
backwoods	refuxios
bad	malo
badly	mal
baffle	deflector
baffled	desconcertante
bafflement	desconcertante
baffling	desconcertante
bait	isca
balk	Balk
banal	banal
banalize	banalizar
bane	bane
banish	desterrar
banishment	desterro
barbarian	bárbaro
barbaric	bárbaro
barbarically	barbaramente
barbarity	barbaridade
barbarous	bárbaro
barbarously	barbaramente
barren	árido
bash	bash
bashed	bashed
bashful	asustado
bashing	golpeando
bastard	bastardo
bastards	bastardos
battered	maltratado
battering	bater
batty	batty
bearish	baixista
beastly	beastly
bedlam	bedlam
bedlamite	bedlamite
befoul	befoul
beg	pedir
beggar	mendigo
beggarly	mendigo
begging	pedindo
beguile	ollar
belabor	belabor
belated	tardío
beleaguer	beleaguer
belie	belie
belittled	belittled
belittling	menosprezante
bellicose	belicosa
belligerence	belixerancia
belligerent	belixerante
belligerently	beligerante
bemoan	bemoan
bemoaning	lamentando
bemused	bemused
bent	dobrado
berate	berate
bereave	marido
bereavement	duelo
bereft	ausente
berserk	irritado
beseech	ruego
beset	asediado
besiege	asediar
besmirch	besmirch
bestial	bestial
betray	traizoar
betrayal	traizón
betrayals	traizóns
betrayer	traidor
betraying	traizoando
betrays	traizoa
bewail	bewail
beware	coidado
bewilder	desconcertante
bewildered	desconcertado
bewildering	desconcertante
bewilderingly	desconcertante
bewilderment	desconcertante
bewitch	bewitch
bias	sesgo
biased	tendenciosa
biases	prejuicios
bicker	bicker
bickering	discutindo
bigotries	fanatismos
bigotry	fanatismo
bitch	puta
bitchy	puta
biting	morder
bitingly	mordaz
bitter	amargo
bitterly	amargamente
bitterness	amargura
bizarre	bizarro
blab	blab
blabber	blabber
blackmail	chantaxe
blah	bla
blame	culpa
bland	sosa
blandish	descarado
blaspheme	blasfemar
blasphemous	blasfemo
blasphemy	blasfemia
blasted	golpeado
blatant	flagrante
blatantly	descaradamente
blather	blather
bleak	sombrío
bleakly	sombrío
bleakness	desangrada
bleed	sangrar
bleeding	hemorragia
bleeds	sangra
blemish	mancha
blind	cego
blinding	cego
blindingly	blindingly
blindside	cego
blister	blister
blistering	ampollas
bloated	inchada
blockage	bloqueo
blockhead	bloqueo
bloodthirsty	sanguinario
bloody	sanguento
blotchy	manchada
blow	golpe
blunder	erro
blundering	blundering
blunders	erro
blunt	contundente
blur	borrão
bluring	borrándose
blurred	borrosa
blurring	borrándose
blurry	borroso
blurs	borros
blurt	blurt
boastful	boastful
boggle	boggle
bogus	falso
boil	ferver
boiling	fervendo
boisterous	bullicioso
bomb	bomba
bombard	bombard
bombardment	bombardeo
bombastic	bombastic
bondage	bondage
bonkers	bonkers
bore	aberto
bored	aburrido
boredom	aburrimiento
bores	ánimas
boring	aburrido
botch	botch
bother	molestar
bothered	molestado
bothering	molestando
bothers	molesta
bothersome	molesto
bowdlerize	arredorizar
boycott	boicot
braggart	braggart
bragger	bragger
brash	brash
brashly	brincamente
brashness	brincadeira
brat	Brat
bravado	bravo
brazen	descarado
brazenly	descaradamente
brazenness	descarada
breach	infracción
break	romper
break-up	romper
break-ups	break-ups
breakdown	avaría
breaking	rompendo
breaks	pausas
breakup	romper
breakups	rupturas
bribery	suborno
brimstone	xofre
bristle	cerda
brittle	quebradizo
broke	rompeu
broken	roto
brood	cría
browbeat	browbeat
bruise	contusão
bruised	machucado
bruises	contusións
bruising	magulladuras
brusque	brusco
brutal	brutal
brutalising	brutalizando
brutalities	brutalidades
brutality	brutalidade
brutalize	brutalizar
brutalizing	brutalizando
brutally	brutalmente
brute	bruto
brutish	brutal
bs	bs
buckle	fivela
bug	erro
bugging	molestando
buggy	buggy
bugs	erros
bulkiness	voluminidade
bulky	voluminoso
bulkyness	voluminosa
bullies	matones
bullshit	mordisco
bullshyt	bochornoso
bully	bully
bullying	bullying
bullyingly	bullyingly
bum	bum
bump	golpe
bumped	golpeado
bumping	golpear
bumpping	bumpa
bumps	bumps
bumpy	golpeado
bungle	bungle
bungler	bungler
bungling	agarrado
bunk	litera
burden	carga
burdensome	caro
burdensomely	carente
burn	queimar
burned	queimado
burning	queima
burns	queimaduras
bust	busto
busts	bustos
busybody	ocupado
butcher	carniceiro
butchery	carnicería
buzzing	zumbido
byzantine	bizantino
cackle	cackle
calamities	calamidades
calamitous	calamitoso
calamitously	calamitamente
calamity	calamidade
callous	calloso
calumniate	calumniar
calumniation	calumnia
calumnies	calumnias
calumnious	calumnioso
calumniously	calumniosamente
calumny	calumnia
cancer	cancro
cancerous	canceroso
cannibal	caníbal
cannibalize	canibalizar
capitulate	capitular
capricious	caprichoso
capriciously	caprichosamente
capriciousness	caprichosa
capsize	capsize
careless	descoidado
carelessness	descoido
caricature	caricatura
carnage	carnicería
carp	carpa
cartoonish	cartoonish
castigate	castigar
castrated	castrado
casualty	baixa
cataclysm	cataclismo
cataclysmal	cataclismo
cataclysmic	cataclísmico
cataclysmically	cataclísmicamente
catastrophe	catástrofe
catastrophes	catástrofes
catastrophic	catastrófico
catastrophically	catastróficamente
catastrophies	catástrofes
caustic	cáustica
caustically	causticamente
cautionary	cauteloso
cave	cova
censure	censura
chafe	chafe
chaff	palla
chagrin	chagrin
challenging	desafiante
chaos	caos
chaotic	caótico
chasten	chaste
chastise	castigar
chastisement	castigo
chatter	chatter
chatterbox	chatterbox
cheap	barato
cheapen	barato
cheat	enganar
cheated	enganado
cheater	tramposo
cheating	trampa
cheats	trampas
cheerless	alegre
cheesy	cursi
chide	chide
childish	infantil
chill	chill
chilly	frío
chintzy	chintzy
choke	choke
choleric	colérico
choppy	choppy
chore	chore
chronic	crónica
chunky	chunky
clamor	clamor
clamorous	clamoroso
clash	choque
cliche	cliché
cliched	cliched
clique	clique
clog	bloquear
clogged	obstruído
clogs	esclops
cloud	nube
clouding	nubes
cloudy	nublado
clueless	despistado
clumsy	torpe
clunky	clunky
coarse	groseiro
cocky	enojado
coerce	coerce
coercion	coerción
coercive	coercitivo
cold	frío
coldly	fríamente
collapse	colapso
collude	enojado
collusion	colusión
combative	combativo
combust	combust
comical	cómico
commiserate	cometer
commonplace	común
commotion	conmoción
commotions	conmocións
complacent	complacente
complain	queixarse
complained	queixouse
complaining	queixándose
complains	quéixase
complaint	denuncia
complaints	denuncias
complex	complexo
complicated	complicado
complication	complicación
complicit	cómplice
compulsion	compulsión
compulsive	compulsivo
concede	conceder
conceded	concedido
conceit	presunción
conceited	presumido
concen	concen
concens	concens
concern	preocupación
concerned	preocupado
concerns	preocupacións
concession	concesión
concessions	concesións
condemn	condenar
condemnable	condenable
condemnation	condena
condemned	condenado
condemns	condena
condescend	condescend
condescending	condescendiente
condescension	condescensión
confess	confesar
confession	confesión
confessions	confesións
confined	confinado
conflict	conflito
conflicting	conflito
conflicts	conflitos
confound	confundir
confounded	confundido
confounding	confundindo
confront	confrontar
confrontation	confrontación
confrontational	confrontación
confuse	confundir
confused	confundido
confuses	confunde
confusing	confuso
confusion	confusión
confusions	confusións
congested	congestionado
congestion	atasco
cons	contra
conscons	Conscons
conservative	conservador
conspicuous	conspicuo
conspicuously	conspicuamente
conspiracies	conspiracións
conspiracy	conspiración
conspirator	conspirador
conspiratorial	conspirador
conspire	conspirar
consternation	consternación
contagious	contaxioso
contaminate	contaminar
contaminated	contaminado
contaminates	Contamina
contaminating	contaminando
contamination	contaminación
contempt	desprezo
contemptible	despreciable
contemptuous	despectivo
contemptuously	despectivamente
contend	contender
contention	contención
contentious	controvertido
contort	contort
contortions	contorções
contradict	contradicen
contradiction	contradición
contradictory	contraditoria
contrariness	contraria
contravene	infrinxir
contrive	contrive
contrived	ideado
controversial	controvertido
controversy	controversia
convoluted	complicado
corrode	corroído
corrosion	corrosión
corrosions	corrosións
corrosive	corrosivo
corrupt	corrupto
corrupted	corrompido
corrupting	corromper
corruption	corrupción
corrupts	corrompe
corruptted	corrompido
costly	caro
counter-productive	contraproducente
counterproductive	contraproducente
coupists	copistas
covetous	voraz
coward	cobarde
cowardly	cobarde
crabby	crabby
crack	crack
cracked	cracked
cracks	rachaduras
craftily	craftily
craftly	artesanalmente
crafty	astuto
cramp	calambre
cramped	axustado
cramping	calambres
cranky	irritante
crap	merda
crappy	malvado
craps	craps
crash	falla
crashed	caeu
crashes	falla
crashing	caer
crass	crass
craven	craven
cravenly	cravenly
craze	mania
crazily	cariñosamente
craziness	tolemia
crazy	tolo
creak	cala
creaking	crujido
creaks	creaks
credulous	creduloso
creep	creep
creeping	arrastrándose
creeps	arrastra
creepy	asustado
crept	arrastrou
crime	delito
criminal	criminal
cringe	cringe
cringed	cringed
cringes	cringes
cripple	paralizar
crippled	paralizado
cripples	aleijado
crippling	paralizando
crisis	crise
critic	crítico
critical	crítico
criticism	críticas
criticisms	críticas
criticize	criticar
criticized	criticado
criticizing	criticando
critics	críticos
cronyism	cronismo
crook	ladrón
crooked	tortuoso
crooks	bandidos
crowded	abarrotado
crowdedness	multitude
crude	cru
cruel	cruel
crueler	cruel
cruelly	cruelmente
cruelness	crueldade
cruelties	crueldades
cruelty	crueldade
crumble	romper
crumbling	desmoronándose
crummy	cruel
crumple	romper
crumpled	arrugar
crush	esmagar
crushed	esmagado
crushing	esmagamento
cry	chorar
culpable	culpable
culprit	culpable
cumbersome	engorroso
cunt	coño
cunts	cunts
cuplrit	cuplrit
curse	maldición
cursed	maldito
curses	maldicións
curt	curt
cuss	cuss
cussed	cussed
cutthroat	cortadura
cynical	cínico
cynicism	cinismo
damage	danos
damaged	mal
damages	danos
damaging	dañino
damn	maldición
damnable	damnable
damnably	Damnably
damnation	condenación
damned	condenado
damning	damning
damper	amortecedor
danger	perigo
dangerous	perigoso
dangerousness	perigosidade
dark	escuro
darken	escurecer
darkened	ensombrecido
darkness	escuridade
dastard	dastard
dastardly	dastardly
daunt	demora
daunting	asustado
dauntingly	asustado
dawdle	dawdle
daze	aturdido
dazed	aturdido
dead	morto
deadlock	bloqueo
deadly	mortal
deaf	xordos
dearth	escaseza
death	morte
debacle	debacle
debase	desconsiderar
debasement	degradación
debaser	debaser
debatable	discutible
debauch	debauch
debaucher	debaucher
debauchery	despedida
debilitate	debilitar
debilitating	debilitante
debility	debilidade
debt	débeda
debts	débedas
decadence	decadencia
decadent	decadente
decay	decadencia
decayed	decaído
deceit	engano
deceitful	enganoso
deceitfully	engañosa
deceitfulness	engano
deceive	engañar
deceiver	engañador
deceivers	enganadores
deceiving	enganar
deception	decepción
deceptive	engañoso
deceptively	engañosamente
declaim	decláim
decline	descenso
declines	declina
declining	diminuíndo
decrement	diminución
decrepit	decrépito
decrepitude	decrepitude
decry	decry
defamation	difamación
defamations	defamacións
defamatory	difamatorio
defame	difamar
defect	defecto
defective	defectuoso
defects	defectos
defensive	defensiva
defiance	desafío
defiant	desafiante
defiantly	desafiante
deficiencies	deficiencias
deficiency	deficiencia
deficient	deficiente
defile	contaminar
defiler	defiler
deform	deformar
deformed	deforme
defrauding	defraudar
defunct	desaparecido
defy	desafiar
degenerate	dexenerar
degenerately	degeneradamente
degeneration	dexeneración
degradation	degradación
degrade	degradar
degrading	degradante
degradingly	degradante
dehumanization	deshumanización
dehumanize	deshumanizar
deign	dignar
deject	expulsar
dejected	expulsado
dejectedly	desagradable
dejection	dexección
delay	atraso
delayed	atrasado
delaying	retrasar
delays	demoras
delinquency	delincuencia
delinquent	delincuente
delirious	delirante
delirium	delirio
delude	delude
deluded	engañado
deluge	diluvio
delusion	ilusión
delusional	delirante
delusions	delirios
demean	demean
demeaning	degradación
demise	desaparición
demolish	demoler
demolisher	demoledor
demon	demo
demonic	demoníaco
demonize	demonizar
demonized	demonizado
demonizes	demoniza
demonizing	demonizando
demoralize	desmoralizar
demoralizing	desmoralizante
demoralizingly	desmoralizadoramente
denial	negación
denied	negado
denies	nega
denigrate	denigrar
denounce	denunciar
dense	denso
dent	dent
dented	dentado
dents	dentes
denunciate	denunciar
denunciation	denuncia
denunciations	denuncias
deny	negar
denying	negando
deplete	esgotar
deplorable	deplorable
deplorably	deplorabilidade
deplore	deplorar
deploring	deplorando
deploringly	deplorando
deprave	deprave
depraved	depravado
depravedly	depravado
deprecate	desamparado
depress	deprimir
depressed	deprimido
depressing	depriment
depressingly	deprimentemente
depression	depresión
depressions	depresións
deprive	privar
deprived	privado
deride	deride
derision	burla
derisive	derisivo
derisively	derisivamente
derisiveness	desprezo
derogatory	despectivo
desecrate	desecrate
desert	deserto
desertion	deserción
desiccate	secar
desiccated	desecado
desititute	desesperado
desolate	desolado
desolately	desolado
desolation	desolación
despair	desesperación
despairing	desesperado
despairingly	desesperadamente
desperate	desesperado
desperately	desesperadamente
desperation	desesperación
despicable	despreciable
despicably	despreciable
despise	desprezar
despised	desprezado
despoil	despoilo
despoiler	Despoilador
despondence	desanimación
despondency	desanimación
despondent	despedido
despondently	despoxadamente
despot	déspota
despotic	despótico
despotism	despotismo
destabilisation	desestabilización
destains	descansa
destitute	indigente
destitution	destitución
destroy	destruír
destroyer	destructor
destruction	destrución
destructive	destrutivo
desultory	desultory
deter	deter
deteriorate	deteriorar
deteriorating	deteriorándose
deterioration	deterioración
deterrent	disuasivo
detest	detestar
detestable	detestable
detestably	detestablemente
detested	detestada
detesting	detestando
detests	detesta
detract	detraer
detracted	detrás
detracting	detraer
detraction	detracción
detracts	detrae
detrimental	perjudicial
devastate	arrasar
devastated	devastada
devastates	arrasa
devastating	devastador
devastatingly	devastadoramente
devastation	devastación
deviate	desviarse
deviation	desviación
devil	diaño
devilish	diabólico
devilishly	diabólicamente
devilment	devilment
devilry	diaño
devious	devious
deviously	deviously
deviousness	devoción
devoid	desprovisto
diabolic	diabólico
diabolical	diabólico
diabolically	diabólicamente
diametrically	diametralmente
diappointed	diappointed
diatribe	diatribe
diatribes	diatribas
dick	pau
dictator	ditador
dictatorial	dictatorial
die	morrer
died	morreu
dies	morre
difficult	difícil
difficulties	dificultades
difficulty	dificultade
diffidence	dificultade
dilemma	dilema
dilly-dally	dilly-dally
dim	dim
dimmer	dimmer
din	din
ding	ding
dings	dings
dinky	dinky
dire	dire
direly	direly
direness	esposa
dirt	lixo
dirtbag	dirtbag
dirtbags	dirtbags
dirts	dirts
dirty	sucio
disable	desactivar
disabled	desactivado
disaccord	desacordo
disadvantage	desvantaxe
disadvantaged	desfavorecidos
disadvantageous	desventajoso
disadvantages	desvantaxes
disaffect	descontento
disaffected	descontento
disaffirm	desafirmar
disagree	desacordo
disagreeable	desagradable
disagreeably	desagradable
disagreeing	desacordo
disagreement	desacordo
disapointed	decepcionado
disapointing	decepcionante
disapointment	decepción
disappoint	decepcionar
disappointed	decepcionado
disappointing	decepcionante
disappointingly	decepcionante
disappointment	decepción
disappointments	decepcións
disappoints	decepciona
disapprobation	desaprobación
disapproval	desaprobación
disapprove	desaprobar
disapproving	desaprobando
disarm	desarmar
disarray	desorde
disaster	desastre
disasterous	desastroso
disastrous	desastroso
disastrously	desastrosamente
disavow	desestimar
disavowal	desestimación
disbelief	incredulidade
disbeliever	incríbel
disclaim	negar
discombobulate	descombobular
discomfit	discomfit
discomfititure	descomfititure
discomfort	incomodidade
discompose	descompúxose
disconcert	desconcertar
disconcerted	desconcertado
disconcerting	desconcertante
disconcertingly	desconcertante
disconsolate	desconsolado
disconsolately	desconsolado
disconsolation	desconsolación
discontent	descontento
discontented	descontento
discontentedly	descontento
discontinued	descontinuado
discontinuity	discontinuidade
discontinuous	discontinuo
discord	discordia
discordance	discordancia
discordant	discordante
discountenance	descontento
discourage	desalentar
discouragement	desánimo
discouraging	desanimado
discouragingly	desalentadoramente
discourteous	descortés
discourteously	discourteously
discoutinous	discoíngua
discredit	descrédito
discrepant	discrepante
discriminate	discriminar
discrimination	discriminación
discriminatory	discriminatorio
disdain	desdén
disdained	desdén
disdainful	desdén
disdainfully	despectivamente
disfavor	desvío
disgrace	desgraza
disgraced	desgraciado
disgraceful	desgraciado
disgracefully	desgraciadamente
disgruntle	descontento
disgruntled	descontento
disgust	disgusto
disgusted	disgustada
disgustedly	desagradablemente
disgustful	desagradable
disgustfully	desagradable
disgusting	asqueroso
disgustingly	desagradablemente
dishearten	desmontar
disheartening	desanimado
dishearteningly	desanimado
dishonest	deshonesto
dishonestly	deshonesto
dishonesty	deshonestidade
dishonor	deshonra
dishonorable	deshonroso
dishonorablely	deshonrosamente
disillusion	desilusión
disillusioned	desilusionado
disillusionment	desilusión
disillusions	desilusións
disinclination	desinformación
disinclined	desinfectado
disingenuous	indignante
disintegrate	desintegrarse
disintegrated	desintegrado
disintegration	desintegración
disinterest	desinterese
disinterested	desinteresado
dislocated	dislocado
disloyal	desleal
disloyalty	deslealdade
dismal	triste
dismally	dismally
dismalness	tristeza
dismay	asustado
dismayed	desanimado
dismaying	desanimado
dismayingly	decepcionante
dismissive	despreciativo
dismissively	despreciable
disobedience	desobediencia
disobedient	desobediente
disobey	desobedecer
disoobedient	desobediente
disorder	trastorno
disordered	desordenado
disorderly	desordenada
disorganized	desorganizado
disorient	desorientar
disoriented	desorientado
disown	rexeitar
disparage	disparage
disparaging	despectivo
disparagingly	despectivamente
dispensable	prescindible
dispirit	desprezo
dispirited	despreciado
dispiritedly	dispiritadamente
dispiriting	desprezando
displace	desplazar
displaced	desprazados
displease	disgusta
displeased	descontento
displeasing	desagradable
displeasure	descontento
disproportionate	desproporcionada
disprove	refutar
disputable	disputable
dispute	disputa
disputed	disputada
disquiet	inquietud
disquieting	inquietante
disquietingly	inquietante
disquietude	inquietude
disregard	desprezo
disregardful	despreocupado
disreputable	indescritível
disrepute	descrédito
disrespectable	indescritível
disrespectablity	desnudez
disrespectful	irrespetuoso
disrespectfully	irrespetuamente
disrupt	perturbar
disruption	interrupción
disruptive	perturbador
diss	diss
dissapointed	decepcionado
dissappointed	decepcionado
dissappointing	decepcionante
dissatisfaction	insatisfacción
dissatisfactory	insatisfactorio
dissatisfied	insatisfeito
dissatisfies	insatisfeitos
dissatisfy	insatisfeito
dissatisfying	insatisfeito
dissed	dised
dissemble	disimular
dissembler	disemblador
dissension	disensión
dissent	disidencia
dissenter	disenso
dissention	disolución
disservice	dobrar
disses	dises
dissidence	disidencia
dissident	disidente
dissidents	disidentes
dissing	disipar
dissocial	disocial
dissolute	disoluto
dissolution	disolución
dissonance	disonancia
dissonant	disonante
dissonantly	disonante
dissuade	disuadir
dissuasive	disuasiva
distains	separa
distaste	repugnancia
distasteful	desagradable
distastefully	desagradable
distort	distorsionar
distorted	distorsionada
distortion	Distorsión
distorts	distorsiona
distract	distraer
distracting	distraer
distraction	distracción
distraught	angustiado
distraughtly	distraídamente
distraughtness	distraído
distress	angustia
distressed	angustiado
distressing	angustiante
distressingly	angustiosamente
distrust	desconfianza
distrustful	desconfiado
distrusting	desconfiado
disturb	molestar
disturbance	perturbación
disturbed	perturbado
disturbing	inquietante
disturbingly	inquietante
disunity	desunión
disvalue	desvalorizar
divergent	diverxente
divisive	divisivo
divisively	divididamente
divisiveness	división
dizzing	encharcado
dizzingly	parvo
dizzy	mareado
doddering	esquivar
dodgey	dodge
dogged	perseguido
doggedly	obstinadamente
dogmatic	dogmático
doldrums	doldrums
domineer	dominante
domineering	dominante
donside	desapareceu
doom	desgraza
doomed	condenado
dope	droga
doubt	dúbida
