abound	florerer
toll-free	tollfri
top	topp
tops	topper
tough	vanskelig
tougher	tøffere
toughest	tøffeste
traction	trekkraft
tranquil	rolig
tranquility	ro
transparent	gjennomsiktig
treasure	skatt
tremendously	enormt
triumph	triumf
triumphal	triumftog
triumphant	triumferende
triumphantly	triumfer
trivially	trivielt
trophy	trofé
trouble-free	problemfri
trump	trumf
trumpet	trompet
trust	tillit
trusted	klarert
trusting	tillits
trustworthiness	troverdighet
trustworthy	troverdig
trusty	trofaste
truthful	sannferdig
truthfully	sannferdig
truthfulness	sannferdighet
ultra-crisp	ultra-skarp
unabashed	uforbeholden
unaffected	upåvirket
unassailable	uangripelig
unbeatable	uslåelig
unbiased	objektivt
unbound	ubundet
uncomplicated	ukomplisert
unconditional	betingelsesløs
undamaged	uskadet
undaunted	uforferdet
understandable	forståelig
undisputable	udiskutabel
undisputed	udiskutert
unencumbered	uhemmet
unequivocal	utvetydig
unequivocally	utvetydig
unfazed	uberørt
unfettered	ubundet
unforgettable	uforglemmelig
unity	enhet
unlimited	ubegrenset
unmatched	uovertruffen
unparalleled	enestående
unquestionable	udiskutable
unquestionably	utvilsomt
unreal	uvirkelig
unrestricted	ubegrenset
unrivaled	uovertruffen
unselfish	uselvisk
unwavering	urokkelig
upgradable	oppgraderbar
upgradeable	oppgraderes
upgraded	oppgradert
upheld	oppholdt
uphold	opprett
uplift	friinntekt
uplifting	oppløftende
upscale	oppskalere
usable	bruk
useable	brukbar
useful	nyttig
user-friendly	Brukervennlig
valiant	tapper
valiantly	tappert
valor	tapperhet
valuable	verdifull
variety	variasjon
venerate	ære
verifiable	verifiserbar
veritable	veritabel
versatile	allsidig
versatility	allsidighet
vibrant	levende
victorious	seirende
victory	seier
viewable	synlig
vigilance	årvåkenhet
vigilant	årvåken
virtue	dyd
virtuous	dydig
visionary	visjonær
vivacious	livlig
vivid	levende
vouch	innestå
vouchsafe	verdiget
warm	varm
warmer	varmere
warmhearted	varmhjertet
warmly	hjertelig
warmth	varme
wealthy	rik
welcome	Velkommen
well-balanced	velbalansert
well-being	trivsel
well-bred	veloppdragen
well-connected	brønn-tilkoblet
well-established	veletablerte
well-informed	velinformert
well-intentioned	velmenende
well-known	Velkjente
well-managed	veldrevne
well-positioned	Plassert
well-run	veldrevet
wellbeing	velvære
wholeheartedly	helhjertet
wholesome	sunn
willing	villig
willingly	villig
willingness	villighet
win	vinne
windfall	nedfallsfrukt
winner	vinner
winners	vinnere
winning	vinne
wins	vinner
wisdom	visdom
wise	klok
wisely	klokt
witty	vittig
won	Vant
wonderful	herlig
wonderfully	fantastisk
wonders	verk
work	arbeid
workable	brukbar
worked	arbeidet
works	virker
world-famous	verdensberømte
worth	verdi
worthiness	verdighet
worthwhile	verdt
worthy	verdig
wowed	imponert
wowing	imponere
yay	Jippi
youthful	ungdommelig
zeal	iver
2-faced	2-møtt
2-faces	2-ansikter
abnormal	unormal
abolish	avskaffe
abominable	avskyelig
abominate	avsky
abomination	styggedom
abort	avbryte
aborted	abortert
aborts	avbryter
abrade	slip
abrasive	slip
abrupt	brå
abruptly	brått
absence	fravær
absent-minded	fraværende
absentee	fraværende
absurdity	absurditet
absurdly	absurd
absurdness	absurd
abuse	misbruke
abused	misbrukt
abuses	overgrep
abusive	fornærmende
abyss	avgrunnen
accidental	utilsiktet
accost	resepsjonist
accursed	forbannet
accusation	anklage
accusations	beskyldninger
accuse	beskylde
accuses	beskylder
accusing	anklagende
accusingly	anklagende
acerbic	bitter
ache	smerte
ached	verket
aches	smerter
aching	verk
acrid	etsende
acrimony	bitterhet
adamant	ubøyelig
addict	stoffmisbruker
addicted	avhengige
addicts	narkomane
admonish	formane
admonition	formaning
adulterate	forfalske
adulteration	utblanding
adversarial	motstandere
adversary	motpart
adverse	uheldig
adversity	motgang
afflict	plage
affliction	lidelse
affront	krenkelse
afraid	redd
aggravate	forverre
aggravating	irriterende
aggravation	forverring
aggression	aggresjon
aggressive	aggressiv
aggressiveness	aggressivitet
aggressor	angriper
aggrieve	såre
aggrieved	fornærmede
aghast	forferdet
agonize	pines
agonizing	pinefull
agonizingly	agonisingly
agony	smerte
aground	grunnstøting
ailing	skrantende
ailment	sykdom
aimless	formålsløs
alarmed	skremt
alarming	foruroligende
alarmingly	alarmerende
alienate	fremmedgjøre
alienated	fremmedgjort
alienation	fremmedgjøring
allegation	påstand
allegations	påstander
allege	påstår
allergic	allergisk
allergies	allergi
allergy	allergi
aloof	reservert
altercation	krangel
ambiguity	tvetydighet
ambiguous	tvetydig
ambivalence	ambivalens
ambush	bakhold
amiss	galt
amputate	amputere
anarchism	anarkisme
anarchist	anarkist
anarchistic	anarkistisk
anarchy	anarki
anemic	anemisk
anger	sinne
angrily	sint
angry	sint
anguish	kval
animosity	fiendtlighet
annihilate	utslette
annihilation	utslettelse
annoy	irritere
annoyance	irritasjon
annoyances	irritasjonsmomenter
annoyed	irritert
annoying	irriterende
annoyingly	grammatikken
annoys	irriterer
anomalous	uregelrett
anomaly	anomali
antagonism	antagonisme
antagonist	motstander
antagonistic	antagonistisk
antagonize	motvirke
anti-american	anti-amerikansk
anti-israeli	anti-israelske
anti-occupation	anti-okkupasjon
anti-proliferation	anti-spredning
anti-semites	antisemitter
anti-social	anti-sosial
anti-us	anti-oss
anti-white	anti-hvitt
antipathy	antipati
antiquated	antikvert
antithetical	antitetisk
anxieties	angst
anxiety	angst
anxious	engstelig
anxiously	Nervøst
anxiousness	engstelighet
apathetic	apatisk
apathy	apati
apocalyptic	apokalyptisk
apologist	apologet
apologists	apologeter
appal	forskrekke
appalled	forferdet
appalling	forferdelig
appallingly	forferdelig
apprehension	engstelse
apprehensions	forståelsen
apprehensive	engstelig
arbitrary	vilkårlig
arcane	uforståelige
archaic	arkaisk
arduous	krevende
arrogance	arroganse
arrogantly	arrogant
ashamed	skamfull
askance	skjeve
assail	angripe
assassin	snikmorder
assassinate	myrde
assault	overfall
asunder	stykker
atrocious	fryktelig
atrocities	grusomheter
atrocity	grusomhet
atrophy	atrofi
attack	angrep
attacks	angrep
audacious	dumdristig
audacity	frekkhet
austere	strenge
authoritarian	autoritær
autocrat	autokraten
autocratic	autokratiske
avalanche	snøskred
avarice	gjerrighet
avaricious	gjerrige
avenge	hevne
averse	uvillig
aversion	aversjon
awful	fryktelig
awfully	forferdelig
awkward	pinlig
ax	øks
back-logged	back-logges
back-woods	back-skogen
backache	ryggsmerter
backaches	ryggsmerter
backbite	baktal
backbiting	baksnakking
backward	bakover
backwardness	tilbakeligg
bad	dårlig
badly	dårlig
baffle	baffel
baffling	uforståelig
bait	agn
banish	forvise
banishment	forvisning
bankrupt	konkurs
barbarian	barbar
barbaric	barbariske
barbarity	barbari
barbarous	barbariske
barren	ufruktbar
baseless	grunnløs
bashful	blyg
bastard	drittsekk
battered	ramponert
battering	batte
beastly	dyrisk
beg	tigge
beggar	tigger
begging	ber
beguile	snik
belated	forsinket
belittle	bagatelliserer
belittled	fornedret
belittling	nedsettende
belligerent	Fiendtlig
bemoan	beklage
bemoaning	jamret
bemused	forundret
bent	bøyd
berate	skjelle
bereavement	sorg
bereft	berøvet
berserk	Berserk
beseech	bønnfaller
besiege	beleire
bestial	bestialsk
betray	forråde
betrayal	forræderi
betrayals	svik
betraying	røve
betrays	forråder
bewail	jamre
beware	pass
bewilder	forvirre
bewildered	forvirret
bewildering	forvirrende
bewilderment	forvirring
bewitch	forhekse
bias	partiskhet
biased	forutinntatt
biases	skjevheter
bicker	krangler
bickering	krangling
bid-rigging	anbudssamarbeid
bigotry	fordommer
bitch	tispe
bitterly	bittert
bitterness	bitterhet
bizarre	bisarr
blab	sladrer
blackmail	utpressing
blameworthy	klanderverdig
bland	kjedelig
blaspheme	spotte
blasphemous	blasfemisk
blasphemy	blasfemi
blasted	sprengt
blatantly	åpenlyst
bleak	bleik
bleed	blø
bleeding	blør
bleeds	blør
blemish	lyte
blindingly	blend
blister	blemme
blistering	blemmer
bloated	oppsvulmet
blockage	blokkering
bloodshed	blodsutgytelse
bloodthirsty	blodtørstig
bloody	blodig
blotchy	flekkete
blow	blåse
blunder	bommert
blundering	blunde
blunders	tabber
blunt	sløv
blur	uklarhet
blurred	uskarp
blurring	uskarphet
blurry	utydelig
blurs	uklarheter
boastful	braut
boggle	Boggle
bogus	tull
boiling	koke
boisterous	støy
bomb	bombe
bombard	bombardere
bombardment	bombardement
bombastic	bombastisk
bore	kjede
bored	lei
boredom	kjedsomhet
bores	boringer
boring	kjedelig
bother	bry
bothered	plaget
bothering	plager
bothers	plager
bothersome	brysom
boycott	boikott
bragger	Brøgger
brainwash	hjernevask
brash	issørpe
brat	drittunge
bravado	Bravado
brazen	skamløs
brazenly	skamløst
brazenness	Frekk
breach	brudd
breakdown	sammenbrudd
breaks	pauser
breakups	samlivsbrudd
bribery	bestikkelser
brimstone	svovel
bristle	bust
brittle	skjør
broke	blakk
broken-hearted	hjerteknust
brood	stamfisk
bruise	blåmerke
bruised	forslått
bruises	blåmerker
bruising	blåmerker
brusque	brysk
brutalising	brutaliser
brutalities	brutalitet
brutality	brutalitet
brutalizing	brutaliser
brutally	brutalt
buckle	spenne
bugging	avlytting
bulkier	digre
bulky	klumpete
bull****	okse****
bull----	okse----
bullies	bøller
bullshit	tull
bully	bølle
bullying	mobbing
bum	boms
bump	dunke
bumps	støt
bumpy	humpete
bungle	Bungle
bungler	klossmajor
burden	byrde
burdensome	tyngende
burn	brenne
burned	brent
burning	brenning
burns	brannsår
bust	Bryst
busts	byster
butcher	slakter
butchery	slakteri
buzzing	summende
byzantine	bysantinsk
cackle	kakle
calamities	ulykker
calamity	ulykke
callous	ufølsom
calumnies	bakvaskelser
calumny	bakvaskelse
cancer	kreft
cancerous	kreft
cannibal	kannibal
capitulate	kapitulere
capricious	lune
capsize	kantre
careless	uforsiktig
carelessness	uforsiktighet
caricature	karikatur
carnage	blodbad
carp	karpe
castrated	kastrert
casualty	havari
cataclysm	katastrofen
cataclysmic	kataklysmisk
catastrophe	katastrofe
catastrophes	katastrofer
catastrophic	katastrofal
catastrophically	katastrofalt
caustic	kaustisk
caustically	sarkastisk
cautionary	advarende
cave	hule
censure	sensurere
chafe	gnage
chaff	agner
chagrin	ergrelse
challenging	utfordrende
chaos	kaos
chaotic	kaotisk
chasten	tukte
chastise	tukte
chastisement	straff
chatter	skravling
chatterbox	skravlebøtte
cheap	billig
cheapen	billigere
cheaply	billig
cheat	jukse
cheated	jukset
cheater	juksemaker
cheating	juks
cheats	bedrager
checkered	rutete
childish	barnslig
chill	kulden
chilly	kjølig
choke	kvele
choleric	koleriske
choppy	krapp
chore	ork
chronic	kronisk
clamorous	larm
cliche	klisje
cliched	klisjéaktige
clique	Klikk
clog	tresko
clogged	tett
clogs	tresko
cloud	Sky
cloudy	skyet
clueless	uvitende
clumsy	klønete
coarse	grov
coerce	tvinge
coercion	tvang
coercive	tvungen
cold	kald
coldly	kaldt
collapse	kollapse
collude	konspirere
collusion	sammensvergelser
combative	stridslystne
combust	forbrenne
comical	komisk
commiserate	uttrykke
commonplace	vanlig
commotion	oppstyr
complacent	tilfreds
complain	klage
complained	klaget
complaining	klag
complains	klager
complaint	klage
complaints	klager
complex	komplekse
complicated	komplisert
complication	komplikasjon
complicit	medvirker
compulsion	tvang
compulsive	tvangsmessig
concede	medgir
conceded	innrømmet
conceit	innbilskhet
conceited	innbilsk
concen	konsen
concern	bekymring
concerned	bekymret
concerns	bekymringer
concession	konsesjon
concessions	konsesjoner
condemn	fordømme
condemnation	fordømmelse
condemned	fordømt
condemns	fordømmer
condescend	nedlate
condescending	nedlatende
condescendingly	nedlatende
condescension	nedlatenhet
confess	tilstå
confession	tilståelse
confessions	bekjennelser
confined	begrenset
conflict	konflikt
conflicted	konflikt
conflicting	motstrid
conflicts	konflikter
confound	skamme
confounded	forvirret
confounding	forvirrende
confront	konfrontere
confrontation	konfrontasjon
confrontational	konfronterende
confuse	forvirre
confused	forvirret
confuses	forvirrer
confusing	forvirrende
confusion	forvirring
confusions	uklarheter
congested	trafikk
congestion	opphopning
cons	ulemper
conservative	konservative
conspicuous	iøynefallende
conspicuously	påfallende
conspiracies	konspirasjoner
conspiracy	sammensvergelse
conspiratorial	konspiratorisk
conspire	konspirerer
consternation	bestyrtelse
contagious	smittsom
contaminate	forurense
contaminated	forurenset
contaminates	forurenser
contaminating	forurensende
contamination	forurensning
contempt	forakt
contemptible	foraktelig
contemptuous	foraktelig
contemptuously	foraktelig
contend	stri
contention	påstand
contentious	omstridte
contort	anstrenge
contradict	motsi
contradiction	motsigelse
contradictory	motstrid
contravene	strid
contrive	pønsker
controversial	kontroversielt
controversy	Kontrovers
corrode	korrodere
corrosion	korrosjon
corrosive	etsende
corrupt	korrupt
corrupted	ødelagt
corrupting	ødelegge
corruption	korrupsjon
corrupts	korrumperer
costlier	dyrere
costly	kostbar
counter-productive	kontraproduktivt
covetous	begjærlig
coward	feiging
cowardly	feigt
crabby	sur
crack	sprekk
cracked	sprakk
cracks	sprekker
crafty	listig
cramp	krampe
cramped	trangt
cramping	kramper
cranky	gretten
crap	dritt
crash	brak
crashed	krasjet
crashes	krasjer
crashing	krasje
crass	krasse
cravenly	feigt
craze	mani
crazily	vannvittig
craziness	galskap
crazy	gal
creak	knirke
creaking	knirk
creaks	knirker
credulous	godtroende
creeping	snik
creeps	kryper
creepy	skummel
crept	krøp
crime	forbrytelse
criminal	forbryter
cringe	kleint
cringed	krøp
cripple	krøpling
crippled	forkrøplet
cripples	krøplinger
crippling	krøplende
crisis	krise
critic	kritisk
critical	kritisk
criticism	kritikk
criticisms	kritikk
criticize	kritisere
criticized	kritisert
criticizing	kritisere
critics	kritikere
cronyism	kameraderi
crook	kjeltring
crooked	krokete
crowded	fylt
crowdedness	crowded
crude	grov
cruel	grusom
cruelest	grusomste
cruelly	grusomt
cruelties	grusomheter
cruelty	grusomhet
crumble	smuldre
crumbling	smuldrer
crumple	krølle
crumpled	krøllet
crumples	krøller
crushed	knust
crushing	knusing
cry	gråte
culpable	klanderverdig
culprit	skyldige
cumbersome	tungvint
cunt	fitte
curse	forbannelse
cursed	forbannet
curses	forbannelser
curt	brysk
cuss	drøfte
cynical	kynisk
cynicism	kynisme
damage	skader
damaged	skadet
damages	skader
damaging	ødeleggende
damn	jævla
damnable	forbannet
damnably	forbannet
damnation	fortapelse
damned	forbannet
damning	forbasket
damper	spjeldet
danger	fare
dangerous	farlig
dark	mørk
darken	mørkere
darkened	mørknet
darker	mørkere
darkness	mørke
dastardly	feige
daunt	Daunt
daunting	skremmende
dawdle	somle
dazed	omtumlet
dead	død
deadbeat	Deadbeat
deadlock	vranglås
deadly	dødelig
deadweight	dødvekt
deaf	døv
dearth	mangel
death	død
debacle	fiaskoen
debase	fornedre
debaser	Debaser
debatable	diskutabel
debauchery	utskeielser
debilitate	svekke
debilitating	ødeleggende
debility	svakhet
debt	gjeld
debts	gjeld
decadence	dekadanse
decadent	dekadent
decay	forfall
decayed	forfalt
deceit	bedrageri
deceitful	bedragersk
deceitfulness	bedrag
deceive	lure
deceiver	bedrager
deceivers	forførere
deceiving	bedra
deception	bedrag
deceptive	villedende
deceptively	utrolig
decline	avslå
declines	avtar
declining	synkende
decrement	minsk
decrepit	avfeldig
decry	fordømme
defamation	ærekrenkelse
defamatory	ærekrenkende
defame	ærekrenke
defect	defekt
defective	defekt
defects	defekter
defensive	defensiv
defiance	trass
defiant	trassig
defiantly	trassig
deficiencies	mangler
deficiency	mangel
deficient	mangelfull
defile	besudle
defiler	Defiler
deform	deformeres
deformed	deformert
defrauding	bedrageri
defunct	nedlagte
defy	trosse
degenerate	degenerert
degeneration	degenerasjon
degradation	degradering
degrade	degradere
degrading	nedverdigende
dehumanize	umenneskelig
deign	nedlate
dejected	nedslått
dejection	motløshet
delay	utsette
delayed	forsinket
delaying	forsinkende
delays	forsinkelser
delinquency	lovovertredelse
delinquent	betalingsudyktig
delirious	delirisk
delude	narre
deluded	villedet
deluge	oversvømmelse
delusion	vrangforestilling
delusional	vrangforestillinger
delusions	vrangforestillinger
demean	nedverdige
demeaning	nedverdigende
demise	død
demolish	rive
demonic	demoniske
demonize	demoniserer
demonized	demonisert
demonizes	demoniserer
demonizing	demonisering
demoralize	demoralisere
demoralizing	demoraliserende
denial	benektelse
denied	benektet
denies	benekter
denounce	fordømme
dense	tett
dent	bulk
dented	bulket
dents	bulker
denunciation	Oppsigelsen
denunciations	oppsigelser
deny	benekte
denying	benektes
deplete	tømme
deplorable	beklagelig
deplore	beklage
deploring	beklaget
depraved	fordervet
depress	trykke
depressed	deprimert
depressing	deprimerende
depressingly	deprimerende
depression	depresjon
depressions	depresjoner
deprive	frarøve
deprived	fratatt
deride	spotter
derision	hån
derisive	hånlig
derogatory	nedsettende
desecrate	skjende
desert	ørken
desertion	deserte
desolate	øde
desolation	ødeleggelse
despair	fortvilelse
despairing	fortvilet
despairingly	fortvilet
desperate	desperat
desperately	desperat
desperation	desperasjon
despicable	avskyelig
despise	forakte
despised	foraktet
despoil	plyndre
despoiler	herjeren
despondency	motløshet
despondent	motløs
despondently	mistrøstig
despotic	despotiske
despotism	despotisme
destabilisation	destabilisering
destitute	nødlidende
destitution	nød
destroy	ødelegge
destroyer	ødelegger
destruction	ødeleggelse
destructive	destruktiv
deter	avskrekke
deteriorate	forringes
deteriorating	forverret
deterioration	forverring
deterrent	avskrekkende
detest	avsky
detestable	avskyelig
detestably	avskyelig
detested	hatet
detesting	detes
detests	avskyr
detract	døve
detracted	svekket
detracting	avvike
detriment	skade
detrimental	skadelig
devastate	ødelegge
devastated	knust
devastates	ødelegger
devastating	ødeleggende
devastatingly	knusende
devastation	ødeleggelse
deviate	avvike
deviation	avvik
devil	djevel
devilish	djevelsk
devilishly	djevelsk
devious	utspekulert
devoid	fri
diabolic	diabolsk
diabolical	djevelske
diabolically	djevelsk
diametrically	diametralt
diatribes	avhandlinger
dick	pikk
dictator	diktator
dictatorial	diktatorisk
die	dø
died	døde
dies	dør
difficult	vanskelig
difficulties	vanskeligheter
difficulty	vanskelighet
dilapidated	falleferdig
dilly-dally	Dilly-dall
dimmer	mørkere
din	larm
dinky	Eagle
dirt	skitt
dirtbag	drittsekk
dirts	smuss
dirty	skitne
disable	deaktivere
disabled	funksjonshemmet
disadvantage	ulempe
disadvantaged	vanskeligstilte
disadvantageous	ufordelaktig
disadvantages	ulemper
disaffected	misfornøyde
disagreeable	ubehagelig
disagreed	uenige
disagreeing	uenige
disagreement	uenighet
disagrees	uenig
disallow	forby
disapointment	skuffelse
disappoint	skuffe
disappointed	skuffet
disappointing	skuff
disappointingly	skuff
disappointment	skuffelse
disappointments	skuffelser
disappoints	skuffer
disapprobation	misbilligelse
disapproval	misbilligelse
disapprove	mislike
disapproving	misbilligende
disarm	avvæpne
disarray	uorden
disaster	katastrofe
disastrous	katastrofal
disastrously	katastrofalt
disbelief	vantro
disbelieve	vantro
disbeliever	tvil
disclaim	fraskriver
discomfort	ubehag
disconcerted	forvirret
disconcerting	urovekkende
disconsolate	utrøstelig
discontent	misnøye
discontented	misfornøyde
discontinued	avviklet
discontinuity	diskontinuitet
discontinuous	usammenhengende
discord	splid
discordance	uoverensstemmelse
discordant	uharmoniske
discourage	fraråde
discouragement	motløshet
discouraging	nedslående
discourteous	uhøflig
discredit	diskreditere
discrepant	avvikende
discriminate	diskriminere
discrimination	diskriminering
discriminatory	diskriminerende
disdain	forakt
disdained	foraktes
disdainfully	foraktelig
disfavor	disfavør
disgrace	vanære
disgraced	vanæret
disgraceful	skammelig
disgruntled	misfornøyd
disgust	avsky
disgusted	forferdet
disgusting	motbydelig
disheartening	nedslående
dishonest	uærlig
dishonestly	uærlig
dishonesty	uærlighet
dishonor	vanære
dishonorable	æreløs
disillusioned	desillusjonert
disillusionment	desillusjon
disinclination	avsky
disintegrate	desintegrerer
disintegrated	oppløst
disintegrates	desintegrerer
disintegration	oppløsning
disinterested	uinteressert
dislike	motvilje
disliked	mislikte
dislikes	misliker
disliking	mislike
dislocated	forstuet
disloyal	illojale
disloyalty	illojalitet
dismal	sturen
dismay	forferdelse
dismayed	forferdet
dismissive	avvisende
dismissively	avvisende
disobedience	ulydighet
disobedient	ulydig
disobey	ulydig
disorder	lidelse
disordered	uordnede
disorderly	uordentlig
disorganized	uorganisert
disorient	desorientere
disoriented	desorientert
disown	fornekte
disparage	nedvurdere
disparaging	nedsettende
disparagingly	nedsettende
dispensable	unnværlig
displace	forflytte
displaced	fortrenges
displease	mishage
displeased	misfornøyd
displeasing	skjemmende
displeasure	misnøye
disproportionate	uforholdsmessig
disprove	motbevise
disputable	diskutabel
dispute	tvist
disputed	omstridt
disquiet	uro
disquieting	foruroligende
disquietingly	uhyggelig
disquietude	uro
disreputable	useriøse
disrepute	vanry
disrespectful	respektløs
disrespectfully	respektløst
disrupt	forstyrre
disruption	avbrudd
disruptive	forstyrrende
diss	disse
dissapointed	skuffet
dissappointed	skuffet
dissatisfaction	utilfredshet
dissatisfied	misfornøyd
dissemble	Demonter
dissension	uenighet
dissent	dissens
disservice	bjørnetjeneste
disses	Disses
dissidence	systemkritikk
dissidents	dissidenter
dissocial	dyssosial
dissolute	utsvevende
dissolution	oppløsning
dissonance	dissonans
dissonant	dissonerende
dissuade	fraråde
dissuasive	avskrekkende
distaste	avsmak
distasteful	usmakelig
distort	forvrenge
distorted	forvrengt
distortion	forvrengning
distorts	forvrenger
distract	distrahere
distracting	distraherende
distraction	distraksjon
distraught	fortvilet
distress	nød
distressing	plagsom
distrust	mistro
distrustful	mistenksom
disturb	forstyrre
disturbance	forstyrrelse
disturbed	forstyrret
disturbing	urovekkende
disturbingly	urovekkende
disunity	splittelse
divergent	avvikende
divisive	splittende
divisiveness	splid
dizzy	svimmel
dogged	seig
doggedly	innbitt
dogmatic	dogmatisk
domineering	dominerende
doom	undergang
doomed	dømt
doomsday	dommedag
dope	kult
doubt	tvil
doubtful	tvilsom
doubtfully	tvil
doubts	tvil
downcast	nedslått
downfall	fall
downgrade	nedgradere
downhill	utforbakke
downside	ulempen
downsides	ulempene
downturn	nedgangen
downturns	nedgangstider
drab	trist
draconic	Draconic
drag	dra
dragged	dro
dragging	dra
drags	drar
drain	avløp
drained	drenert
draining	drenering
drains	avløp
drastic	drastisk
drastically	drastisk
drawback	ulempen
drawbacks	ulemper
dreadfully	fryktelig
dreary	kjedelig
dripped	dryppet
dripping	dryppende
drippy	dryppende
drips	drypper
drones	droner
droop	henge
drop-outs	slipp-outs
drought	tørke
drowning	drukning
drunk	full
drunkard	drukkenbolt
dubious	tvilsomme
dubiously	tvil
dull	kjedelig
dumb	dum
dumped	dumpet
dumps	dumper
dungeon	fangehull
dungeons	fangehull
dupe	lure
dust	støv
dusty	støvete
dwindling	minskende
dying	døende
eccentric	eksentriske
eccentricity	eksentrisitet
effigy	dukke
egocentric	egosentriske
egotism	egoisme
egotistical	selvopptatt
egregious	skjerpende
election-rigger	Valg-rigger
elimination	eliminering
emaciated	avmagret
emasculate	kastrere
embarrass	flau
embarrassing	pinlig
embarrassingly	pinlig
embarrassment	flause
embattled	krigsherjede
embroiled	involvert
emergency	nødsituasjon
emphatic	empatisk
emphatically	ettertrykkelig
emptiness	tomhet
encroach	gripe
encroachment	inngrep
enemies	fiender
enemy	fiende
engulf	oppsluke
enjoin	pålegge
enmity	fiendskap
enrage	rasende
enraged	rasende
enslave	slavebinde
entangle	komplisere
entanglement	forviklinger
envious	misunnelig
enviously	misunnelig
epidemic	epidemi
equivocal	tvetydig
erode	erodere
erodes	eroderes
erosion	erosjon
errant	villfaren
erratic	uberegnelig
erratically	uberegnelig
erroneous	feilaktig
erroneously	feilaktig
error	feil
errors	feil
eruptions	utbrudd
escapade	sprang
estranged	fraseparerte
evade	unngå
evasion	unnvikelse
evasive	unnvikende
evil	ond
evildoer	ugjernings
evils	onder
exacerbate	forverre
exagerated	overdrevne
exaggerate	overdrive
exaggeration	overdrivelse
exasperate	ergre
exasperated	irritert
exasperation	forbitrelse
excessive	overflødig
excessively	overdrevent
exclusion	utelukkelse
excruciating	uutholdelig
excruciatingly	ulidelig
excuse	unnskyldning
excuses	unnskyldninger
execrate	forbanne
exhaust	eksos
exhausted	utslitt
exhaustion	utmattelse
exhausts	eksos
exhort	formane
exile	eksil
exorbitant	ublu
expel	utvise
expensive	dyrt
expire	utløpe
expired	utløpt
explode	eksplodere
exploit	utnytte
exploitation	utnyttelse
explosive	eksplosiv
expropriate	ekspropriere
expropriation	ekspropriasjon
exterminate	utrydde
extermination	utryddelse
extinguish	slukke
extort	presse
extortion	utpressing
extraneous	overflødig
extravagance	ekstravaganse
extravagant	ekstravagant
extravagantly	flust
extremism	ekstremisme
extremist	ekstremistisk
extremists	ekstremister
fabricate	dikte
fabrication	fabrikasjon
facetious	spøkefull
fail	mislykkes
failed	mislyktes
failing	sviktende
fails	mislykkes
failure	svikt
failures	feil
faithless	troløse
fake	forfalskning
fall	falle
fallacious	uholdbar
fallacy	feilslutning
falling	faller
falls	faller
false	falsk
falsehood	løgn
falsely	feilaktig
falsify	forfalske
falter	svikte
faltered	vaklet
famine	hungersnød
famished	sulten
fanatic	fanatiker
fanatical	fanatisk
fanatically	fanatisk
fanaticism	fanatisme
fanatics	fanatikere
fanciful	fantasifull
far-fetched	usannsynlig
farce	farse
farfetched	usannsynlig
fascism	fascisme
fastidious	kresen
fat	fett
fat-cats	fett-katter
fatalistic	fatalistisk
fatally	skjebnesvangert
fateful	skjebnesvangre
fatefully	skjebnesvangert
fatigue	utmattelse
fatigued	trøtt
fatique	tretthet
fatty	fet
fatuous	tåpelig
fault	feil
faults	feil
faulty	defekt
fear	frykt
fearful	engstelig
fearfully	skremmende
fears	frykter
fearsome	skremmende
feeble	svak
feint	finte
fell	falt
felon	forbryter
ferociously	rasende
ferocity	grusomhet
fetid	illeluktende
fever	feber
feverish	febrilsk
fevers	feber
fickle	fikle
fiction	skjønnlitteratur
fictional	fiktiv
fictitious	fiktiv
fidgety	urolig
fiend	djevel
fiendish	djevelske
fierce	voldsom
figurehead	gallionsfigur
filth	skitt
filthy	skitten
finagle	Finagle
finicky	pirkete
fissures	sprekker
fist	neve
flabbergast	forbløffende
flagrant	åpenbar
flair	teft
flake	flak
flaking	flassing
flaky	flass
flare	fakkel
flaw	feil
flawed	feilaktig
flaws	feil
flee	flykte
fleeing	flykter
flees	flykter
fleeting	flyktig
flicker	flimmer
flickering	flimring
flickers	flimrer
flighty	sindige
flimsy	spinkel
flirty	Flørtete
flounder	flyndre
flout	blaffen
foe	fiende
fool	lure
fooled	lurt
foolhardy	dumdristig
foolish	tullete
foolishly	tåpelig
foolishness	tåpelighet
forbid	forby
forbidden	forbudt
forbidding	avskrekkende
forceful	kraftig
foreboding	illevarslende
forged	smidd
forgetful	glemsom
forgetfully	forget
forgetfulness	glemsomhet
forlorn	laus
forsake	svikte
forsaken	forlatt
fractious	splittende
fracture	brudd
fragile	skjør
fragmented	fragmentert
frail	skrøpelig
frantic	panisk
frantically	febrilsk
fraud	bedrageri
fraudulent	uredelig
fraught	nervøs
frazzled	uryddig
freakishly	latterlig
freeze	fryse
freezes	fryser
freezing	frysing
frenetic	frenetisk
frenetically	frenetisk
frenzied	vanvittige
frenzy	raseri
fret	gnage
fretful	gretten
friction	friksjon
frictions	friksjoner
fried	stekt
fright	frykt
frighten	skremme
frightening	skremmende
frighteningly	skremmende
frightful	skrekkelig
frown	rynke
froze	frøs
frozen	frossen
fruitless	nytteløs
frustrate	frustrere
frustrated	frustrert
frustrates	frustrerer
frustrating	frustrerende
frustratingly	frustrerende
frustration	frustrasjon
frustrations	frustrasjoner
fuck	faen
fucking	jævla
fugitive	rømling
full-blown	fullverdig
fumble	rote
fume	ryke
fumes	røyk
